"offer.date","IPO.name","Ticker","CUSIP","ADR.(2=ADR)","VC","Dual","Post-issue.shares","Internet","CRSP.Perm","Founding","Rollup","X13","X14"
"19750130","ROYSTER",NA,"78088610","1","0","0",".","0","67898",1901,".",NA,NA
"19750609","VARCO","VRC","92212610","1","0","0",".","0","63044",1908,".",NA,NA
"19750610","COORS ADOLPH","TAP","21701610","1","0","1","35418915","0","59248",1901,".",NA,NA
"19750715","KEYSTONE FOODS CORP",NA,"49348410","1","0","0",".","0","61989",1965,".",NA,NA
"19750826","C. F. BRAUN",NA,"10564710","1","0","0",".","0","58579",1909,".","N=16,030 U.S. IPOs from January 1975-December 2025",NA
"19750910","BROOKS FASHION STORES",NA,"11439410","1","0","1","2533000","0","65517",1923,".",NA,NA
"19750924","CHRISTENSEN, INC.",NA,"17056510","1","0","0",".","0","23342",1944,".","Rollup is a 0-1 dummy variable for whether the IPO was a rollup",NA
"19751021","KERR GLASS MANUFACTURI","KGM","49237610","1","0","0",".","0","58616",1903,".","VC is a dummy with 1 for VC and 2 for a subset of VC that I call growth capital",NA
"19751028","LIQUID AIR","LANA","53631510","1","0","0",".","0","49825",1965,".","Dual is a dummy for multiple share class IPOs with 1=dual",NA
"19751030","OCEANEERING INTERNATL","OII","67523210","1",".","0",".","0","58975",1965,".","Post-issue shares is listed only for dual class IPOs, and includes all share classes (basic, not fully diluted)",NA
"19751107","COLONIAL GAS ENERGY",NA,"19567410","1","0","0",".","0","24679",1929,".","ADR is 1-2 dummy for which American Depositary Receipts are given a 2 ",NA
"19751216","CULLEN BANKERS",NA,"22989510","1","0","0",".","0","27880",1965,".",NA,"ADR codes of 3-7 are not ADRs, but are instead closed-end funds with 3=domestic equity, 4=international equity, 5=muni bond, 6=taxable bond, and 7=other"
"19760108","SBE INC.","SBEI","78387310","1","1","0",".","0","68145",1961,".",NA,NA
"19760115","BALDOR","BEZ","05774110","1","0","1","1953000","0","58755",1920,".","Internet is a dummy with 1 if it is an internet-based  company, although in recent years I have not been updating this variable",NA
"19760115","DICKEY-JOHN","DKJC","25312010","1","0","0",".","0","29912",1966,".","Founding is the founding date of the company",NA
"19760121","PATHCOM","PATH","70319110","1","0","0",".","0","61453",1970,".",NA,NA
"19760128","CHEMINEER","CHNR","16381810","1","0","0",".","0","23070",1952,".","Direct listings are included",NA
"19760211","MANUFACTURING DATA",NA,"56501010","1","1","0",".","0","51370",1969,".",NA,NA
"19760317","CRAY RESEARCH","CYR","22522410","1","1","0",".","0","62164",1972,".","This list of U.S. IPOs is missing IPOs with an offer price of below $5.00 before 1984",NA
"19760329","BURING FOOD GROUP",NA,"12126610","1","0","1","1034483","0","58974",1945,".","In general, missing info is denoted as -99 or . or something else that should be obvious",NA
"19760511","MAYFLOWER","MFL","57834810","1","0","0",".","0","63669",1955,".","Jay Ritter, January 19, 2026",NA
"19760512","ENTENMANNS",NA,"29362710","1","0","0",".","0","33057",1958,".",NA,NA
"19760519","GAP STORES","GPS","36476010","1","0","0",".","0","59010",1969,".","Please bring mistakes to my attention",NA
"19760519","NATCO","NATO","63227910","1","0","0",".","0","56056",1911,".","Note that the post-issue number of shares for ADRs is freqently wrong, in that sometimes it is based on the number",NA
"19760603","STEWART & STEVENSON SE","SSSS","86034210","1","0","0",".","0","72961",1902,".","of ordinary shares and sometimes on the basis of the ADRs without adjusting for conversion ratios",NA
"19760608","FOUR PHASE","FPS","35089720","1","1","0",".","0","60433",1969,".",NA,NA
"19760629","SHARED MEDICAL SYSTEMS","SMED","81948610","1","0","0",".","0","70229",1969,".",NA,NA
"19760708","DOCUMATION",NA,"25614510","1","1","0",".","0","59723",1970,".",NA,NA
"19760713","DATA TERMINAL","DTS","23801010","1","1","0",".","0","59862",1970,".",NA,NA
"19760722","VAPOR",NA,"92209810","1","1","0",".","0","80275",1904,".",NA,NA
"19760810","DYCO PETROLEUM","DYC","26747010","1","0","0",".","0","62543",1971,".","Information on offer prices, returns, and other information is available from commercial data providers",NA
"19760812","AMDAHL","AMH","02390510","1","1","0",".","0","60046",1970,".",NA,NA
"19760902","ZONDERVAN","ZOND","98975520","1","0","0",".","0","84145",1954,".",NA,NA
"19760915","ROLM","RM","77578410","1","1","0",".","0","60572",1969,".","CRSP is the University of Chicago's Center for Research on Securities Prices, which has long-run return information",NA
"19760928","KIMBALL","KBALB","49427410","1","0","0",".","0","47715",1901,".",NA,NA
"19760928","TYRONE HYDRAULICS",NA,"90243410","1","0","0",".","0","77711",1965,".",NA,NA
"19761029","CHEFS INTERNATIONAL","CHEF","16308210","1","0","0",".","0","22956",1975,".",NA,NA
"19761109","DATA RESOURCES INC",NA,"23785710","1","1","0",".","0","28688",1968,".",NA,NA
"19761215","BOKUM",NA,"09750010","1","0","0",".","0","18631",1972,".",NA,NA
"19761216","BEAR CREEK","BCRK","07379910","1","0","0",".","0","17292",1972,".",NA,NA
"19761216","PCA INTERNATIONAL","PCAI","69318010","1","1","0",".","0","60346",1967,".",NA,NA
"19770106","TETRA TECH","TT","88162110","1","0","0",".","0","59803",1966,".",NA,NA
"19770118","FREMONT GENERAL","FMT","35728810","1","0","0",".","0","37699",1961,".",NA,NA
"19770125","OMEGA OPTICAL","OMEG","68290110","1","0","0",".","0","59652",1972,".",NA,NA
"19770127","BROUGHAM INDUSTRIES","BRIN","11483020","1","0","0",".","0","19530",1969,".",NA,NA
"19770201","CONTINUOS CURVE LENS","CURV","21217710","1","0","0",".","0","26957",1960,".",NA,NA
"19770209","ST JUDE MEDICAL","STJ","79084910","1","0","0",".","0","68591",1976,".",NA,NA
"19770324","JHIRMACK ENTERPRISES","JMCK","47736820","1","0","0",".","0","46608",1968,".",NA,NA
"19770414","JENN-AIR","JENN","47614010","1","0","0",".","0","46520",1953,".",NA,NA
"19770427","TESDATA SYSTEMS","TDSC","88159710","1","1","0",".","0","75636",1972,".",NA,NA
