tic,datadate,cusip,prccd,prcod,gvkey
LAKE,1/2/2025,511795106,25.81,25.98,012597
LAKE,1/3/2025,511795106,25.89,25.99,012597
LAKE,1/6/2025,511795106,25.85,25.95,012597
LAKE,1/7/2025,511795106,24.825,25.95,012597
LAKE,1/8/2025,511795106,25.15,24.61,012597
LAKE,1/10/2025,511795106,26.22,25.05,012597
LAKE,1/13/2025,511795106,25.82,26.2,012597
LAKE,1/14/2025,511795106,26.12,25.96,012597
LAKE,1/15/2025,511795106,26.47,26.36,012597
LAKE,1/16/2025,511795106,25.88,26.2,012597
LAKE,1/17/2025,511795106,26.035,25.96,012597
LAKE,1/21/2025,511795106,25.94,26.26,012597
LAKE,1/22/2025,511795106,25.5,25.91,012597
LAKE,1/23/2025,511795106,22.8,22.25,012597
LAKE,1/24/2025,511795106,22.73,22.75,012597
LAKE,1/27/2025,511795106,23.1,23,012597
LAKE,1/28/2025,511795106,24.25,23.32,012597
LAKE,1/29/2025,511795106,24.4,24.24,012597
LAKE,1/30/2025,511795106,24.24,24.44,012597
LAKE,1/31/2025,511795106,23.19,24.3,012597
LAKE,2/3/2025,511795106,22.62,22.55,012597
LAKE,2/4/2025,511795106,23.36,22.7,012597
LAKE,2/5/2025,511795106,23.55,23.4,012597
LAKE,2/6/2025,511795106,23.57,23.72,012597
LAKE,2/7/2025,511795106,23.07,23.49,012597
LAKE,2/10/2025,511795106,23.29,23.02,012597
LAKE,2/11/2025,511795106,24.52,23.1,012597
LAKE,2/12/2025,511795106,24.45,24.4,012597
LAKE,2/13/2025,511795106,24.49,24.23,012597
LAKE,2/14/2025,511795106,24.03,24.64,012597
LAKE,2/18/2025,511795106,24.39,24.05,012597
LAKE,2/19/2025,511795106,24.56,24.26,012597
LAKE,2/20/2025,511795106,25.12,24.74,012597
LAKE,2/21/2025,511795106,24.72,25.12,012597
LAKE,2/24/2025,511795106,23.5,24.79,012597
LAKE,2/25/2025,511795106,23.05,23.45,012597
LAKE,2/26/2025,511795106,23.45,23.12,012597
LAKE,2/27/2025,511795106,23.49,23.43,012597
LAKE,2/28/2025,511795106,23.6,23.192,012597
LAKE,3/3/2025,511795106,23.13,23.33,012597
LAKE,3/4/2025,511795106,21.8,22.97,012597
LAKE,3/5/2025,511795106,21.68,21.66,012597
LAKE,3/6/2025,511795106,20.93,21.13,012597
LAKE,3/7/2025,511795106,20.19,20.93,012597
LAKE,3/10/2025,511795106,19.41,19.88,012597
LAKE,3/11/2025,511795106,20.15,19.9,012597
LAKE,3/12/2025,511795106,20.71,20.5,012597
LAKE,3/13/2025,511795106,19.91,20.68,012597
LAKE,3/14/2025,511795106,20.1,20.16,012597
LAKE,3/17/2025,511795106,19.93,19.9,012597
LAKE,3/18/2025,511795106,19.75,20.7,012597
LAKE,3/19/2025,511795106,18.98,20.2,012597
LAKE,3/20/2025,511795106,19,19.1,012597
LAKE,3/21/2025,511795106,18.76,18.74,012597
LAKE,3/24/2025,511795106,21.09,19.28,012597
LAKE,3/25/2025,511795106,20.39,20.83,012597
LAKE,3/26/2025,511795106,20.3,20.65,012597
LAKE,3/27/2025,511795106,20.46,20.09,012597
LAKE,3/28/2025,511795106,20.26,20.31,012597
LAKE,3/31/2025,511795106,20.31,20.51,012597
LAKE,4/1/2025,511795106,19.64,20.2,012597
LAKE,4/2/2025,511795106,20.63,19.35,012597
LAKE,4/3/2025,511795106,18.55,19.57,012597
LAKE,4/4/2025,511795106,17.85,17.71,012597
LAKE,4/7/2025,511795106,16.89,17.12,012597
LAKE,4/8/2025,511795106,16.52,17.39,012597
LAKE,4/9/2025,511795106,18.35,16.4,012597
LAKE,4/10/2025,511795106,15.72,17.55,012597
LAKE,4/11/2025,511795106,16.03,15.72,012597
LAKE,4/14/2025,511795106,15.95,16.34,012597
LAKE,4/15/2025,511795106,15.67,15.78,012597
LAKE,4/16/2025,511795106,15.86,15.53,012597
LAKE,4/17/2025,511795106,15.58,15.79,012597
LAKE,4/21/2025,511795106,15.48,15.9,012597
LAKE,4/22/2025,511795106,15.8,15.51,012597
LAKE,4/23/2025,511795106,16.42,16.34,012597
LAKE,4/24/2025,511795106,16.71,16.5,012597
LAKE,4/25/2025,511795106,16.81,16.82,012597
LAKE,4/28/2025,511795106,16.59,16.75,012597
LAKE,4/29/2025,511795106,16.74,16.41,012597
LAKE,4/30/2025,511795106,16.33,16.5,012597
LAKE,5/1/2025,511795106,16.83,16.42,012597
LAKE,5/2/2025,511795106,16.84,16.85,012597
LAKE,5/5/2025,511795106,16.49,16.68,012597
LAKE,5/6/2025,511795106,16.03,16.44,012597
LAKE,5/7/2025,511795106,16.38,16.12,012597
LAKE,5/8/2025,511795106,16.955,16.47,012597
LAKE,5/9/2025,511795106,17.06,16.94,012597
LAKE,5/12/2025,511795106,17.76,17.84,012597
LAKE,5/13/2025,511795106,18.28,17.97,012597
LAKE,5/14/2025,511795106,18.27,18.23,012597
LAKE,5/15/2025,511795106,17.86,18.05,012597
LAKE,5/16/2025,511795106,19.08,18.11,012597
LAKE,5/19/2025,511795106,19.44,18.68,012597
LAKE,5/20/2025,511795106,19.85,19.38,012597
LAKE,5/21/2025,511795106,18.8,19.83,012597
LAKE,5/22/2025,511795106,18.77,18.83,012597
LAKE,5/23/2025,511795106,18.24,18.51,012597
LAKE,5/27/2025,511795106,19.18,18.48,012597
LAKE,5/28/2025,511795106,19.03,19.24,012597
LAKE,5/29/2025,511795106,19.13,19.03,012597
LAKE,5/30/2025,511795106,19.06,19.02,012597
LAKE,6/2/2025,511795106,19.01,19.01,012597
