date,weight_market,weight_bond
2022-01-19,0.61959094,0.38040903
2022-01-20,0.61959094,0.38040903
2022-01-21,0.61959076,0.38040924
2022-01-24,0.61959153,0.3804085
2022-01-25,0.61958975,0.38041025
2022-01-26,0.61959,0.38040996
2022-01-27,0.6195901,0.38040987
2022-01-28,0.61958987,0.38041013
2022-01-31,0.6195863,0.3804137
2022-02-01,0.61958486,0.38041514
2022-02-02,0.61958605,0.3804139
2022-02-03,0.61958665,0.38041344
2022-02-04,0.61958987,0.38041013
2022-02-07,0.6195891,0.38041088
2022-02-08,0.6195884,0.38041165
2022-02-09,0.61958736,0.3804127
2022-02-10,0.6195858,0.38041425
2022-02-11,0.6195886,0.38041136
2022-02-14,0.61959034,0.3804097
2022-02-15,0.61958945,0.38041058
2022-02-16,0.61958605,0.38041392
2022-02-17,0.6195862,0.38041374
2022-02-18,0.6195891,0.38041088
2022-02-22,0.61958927,0.38041073
2022-02-23,0.61958927,0.38041076
2022-02-24,0.61959,0.38041005
2022-02-25,0.6195868,0.3804132
2022-02-28,0.61958385,0.38041613
2022-03-01,0.6195856,0.38041443
2022-03-02,0.61958873,0.3804113
2022-03-03,0.6195867,0.38041326
2022-03-04,0.619587,0.38041306
2022-03-07,0.61958843,0.38041154
2022-03-08,0.6195911,0.38040894
2022-03-09,0.6195901,0.38040987
2022-03-10,0.61958486,0.38041514
2022-03-11,0.6195857,0.38041434
2022-03-14,0.6195881,0.38041192
2022-03-15,0.61958873,0.3804113
2022-03-16,0.61958516,0.38041484
2022-03-17,0.6195831,0.38041696
2022-03-18,0.61958385,0.38041618
2022-03-21,0.6195847,0.38041532
2022-03-22,0.61958665,0.3804134
2022-03-23,0.619586,0.38041404
2022-03-24,0.6195878,0.38041222
2022-03-25,0.6195865,0.38041344
2022-03-28,0.6195862,0.38041374
2022-03-29,0.61958635,0.38041365
2022-03-30,0.6195858,0.38041422
2022-03-31,0.6195876,0.3804123
2022-04-01,0.61958975,0.38041028
2022-04-04,0.6195886,0.38041133
2022-04-05,0.619587,0.38041303
2022-04-06,0.6195892,0.38041088
2022-04-07,0.6195899,0.3804101
2022-04-08,0.6195888,0.38041118
2022-04-11,0.61958873,0.3804113
2022-04-12,0.61959034,0.3804097
2022-04-13,0.6195898,0.38041016
2022-04-14,0.61958784,0.38041213
2022-04-18,0.61958957,0.38041046
2022-04-19,0.61958957,0.38041046
2022-04-20,0.61958736,0.3804126
2022-04-21,0.6195878,0.38041216
2022-04-22,0.61959034,0.38040966
2022-04-25,0.6195922,0.38040784
2022-04-26,0.61958975,0.3804103
2022-04-27,0.61959094,0.38040906
2022-04-28,0.61958945,0.3804105
2022-04-29,0.61958504,0.38041493
2022-05-02,0.6195891,0.38041088
2022-05-03,0.61958826,0.38041177
2022-05-04,0.61958635,0.3804137
2022-05-05,0.6195828,0.38041723
2022-05-06,0.6195877,0.38041225
2022-05-09,0.6195884,0.3804116
2022-05-10,0.61958957,0.38041046
2022-05-11,0.6195873,0.3804127
2022-05-12,0.61958724,0.38041276
2022-05-13,0.6195864,0.3804135
2022-05-16,0.6195831,0.380417
2022-05-17,0.61958414,0.38041586
2022-05-18,0.6195831,0.3804169
2022-05-19,0.6195877,0.3804123
2022-05-20,0.61958784,0.38041213
2022-05-23,0.6195858,0.38041425
2022-05-24,0.61958313,0.3804168
2022-05-25,0.61958444,0.38041553
2022-05-26,0.6195846,0.38041538
2022-05-27,0.6195829,0.3804172
2022-05-31,0.6195816,0.38041845
2022-06-01,0.619585,0.38041508
2022-06-02,0.6195872,0.38041288
2022-06-03,0.6195847,0.38041526
2022-06-06,0.619587,0.38041297
2022-06-07,0.6195874,0.38041255
2022-06-08,0.6195858,0.3804142
2022-06-09,0.6195879,0.3804121
2022-06-10,0.6195901,0.3804099
2022-06-13,0.61959136,0.3804086
2022-06-14,0.6195921,0.38040793
2022-06-15,0.6195888,0.38041118
2022-06-16,0.61958444,0.38041553
2022-06-17,0.61958784,0.38041213
2022-06-21,0.6195876,0.3804124
2022-06-22,0.6195835,0.38041648
2022-06-23,0.61958444,0.38041562
2022-06-24,0.619585,0.38041508
2022-06-27,0.6195821,0.38041788
2022-06-28,0.61958444,0.38041553
2022-06-29,0.61958814,0.38041186
2022-06-30,0.6195879,0.38041213
2022-07-01,0.6195877,0.38041228
2022-07-05,0.6195859,0.38041413
2022-07-06,0.619586,0.38041407
2022-07-07,0.61958635,0.38041365
2022-07-08,0.619585,0.38041508
2022-07-11,0.619586,0.38041407
2022-07-12,0.6195878,0.38041222
2022-07-13,0.6195887,0.38041133
2022-07-14,0.61958855,0.38041145
2022-07-15,0.6195888,0.38041115
2022-07-18,0.61958617,0.38041386
2022-07-19,0.6195878,0.38041216
2022-07-20,0.61958593,0.38041407
2022-07-21,0.61958635,0.3804137
2022-07-22,0.61958706,0.38041297
2022-07-25,0.6195892,0.38041085
2022-07-26,0.61958957,0.38041046
2022-07-27,0.6195908,0.3804092
2022-07-28,0.61958706,0.38041288
2022-07-29,0.61958647,0.3804135
2022-08-01,0.6195868,0.3804132
2022-08-02,0.6195887,0.38041133
2022-08-03,0.61959034,0.38040966
2022-08-04,0.6195881,0.38041195
2022-08-05,0.61958843,0.3804116
2022-08-08,0.61958945,0.38041055
2022-08-09,0.6195893,0.3804107
2022-08-10,0.61958975,0.3804102
2022-08-11,0.6195872,0.38041285
2022-08-12,0.61958796,0.38041207
2022-08-15,0.619587,0.38041303
2022-08-16,0.6195878,0.38041225
2022-08-17,0.6195888,0.38041118
2022-08-18,0.61959034,0.38040966
2022-08-19,0.61958975,0.38041025
2022-08-22,0.6195908,0.3804092
2022-08-23,0.61959195,0.38040805
2022-08-24,0.61959046,0.38040954
2022-08-25,0.61958885,0.38041115
2022-08-26,0.61958724,0.38041276
2022-08-29,0.6195908,0.38040912
2022-08-30,0.619591,0.38040897
2022-08-31,0.6195901,0.3804099
2022-09-01,0.61958975,0.38041028
2022-09-02,0.61958843,0.3804115
2022-09-06,0.619589,0.380411
2022-09-07,0.61958927,0.38041073
2022-09-08,0.6195862,0.38041377
2022-09-09,0.6195862,0.3804138
2022-09-12,0.6195858,0.38041416
2022-09-13,0.619586,0.38041404
2022-09-14,0.61959106,0.38040894
2022-09-15,0.61958945,0.38041055
2022-09-16,0.6195887,0.38041133
2022-09-19,0.6195885,0.3804115
2022-09-20,0.6195867,0.3804133
2022-09-21,0.6195877,0.38041228
2022-09-22,0.61958927,0.38041073
2022-09-23,0.6195892,0.38041088
2022-09-26,0.61958927,0.38041073
2022-09-27,0.61958927,0.38041076
2022-09-28,0.6195883,0.38041168
2022-09-29,0.619585,0.380415
2022-09-30,0.619588,0.38041195
2022-10-03,0.6195896,0.38041034
2022-10-04,0.61958486,0.38041508
2022-10-05,0.61958146,0.38041857
2022-10-06,0.61958426,0.38041577
2022-10-07,0.61958724,0.38041273
2022-10-10,0.6195898,0.38041016
2022-10-11,0.61958903,0.38041094
2022-10-12,0.6195878,0.38041225
2022-10-13,0.6195878,0.38041225
2022-10-14,0.6195842,0.38041583
2022-10-17,0.6195872,0.38041276
2022-10-18,0.6195845,0.38041544
