date,ipo_ret,num_stocks,total_market_cap,constituents
2020-01-02,,1,21881545825.9685,SE
2020-01-03,0.011238780036214813,1,22127467706.358913,SE
2020-01-06,-0.0002470273108382548,1,22122001617.51575,SE
2020-01-07,0.013092855367843548,1,22411641785.141087,SE
2020-01-08,-0.02072661567690881,1,21947124299.171917,SE
2020-01-09,0.009213120848868828,1,22149325807.625336,SE
2020-01-10,-0.023439352994193863,1,21630159941.436996,SE
2020-01-13,0.011116690408128349,1,21870615732.98425,SE
2020-01-14,-0.0019990462303747236,1,21826895361.047253,SE
2020-01-15,0.01201801599250274,1,22089211338.563004,SE
2020-01-16,0.013359746165011677,1,22384317595.0315,SE
2020-01-17,0.007812492724042164,1,22559194913.375336,SE
2020-01-21,0.0007268070465444865,1,22575591095.202747,SE
2020-01-22,0.07383198101350152,1,24242391708.312332,SE
2020-01-23,0.00879169035803451,1,24455523309.75,SE
2020-01-24,0.01296093477217175,1,24772489752.186996,SE
2020-01-27,-0.021619309890744676,1,24236925619.46917,SE
2020-01-28,0.01533258914479041,1,24608540442.125336,SE
2020-01-29,0.002442829521064338,1,24668654911.187668,SE
2020-01-30,0.009969002415242567,1,24914576791.578083,SE
2020-01-31,-0.007677088680624333,1,24723305376.108913,SE
2020-02-03,0.024977834029476176,1,25340839994.45342,SE
2020-02-04,0.009704567032672973,1,25586761874.843834,SE
2020-02-05,-0.021571942078522754,1,25034805729.702747,SE
2020-02-06,-0.001964639814229785,1,24985621353.624664,SE
2020-02-07,0.010498677371403309,1,25247937331.140415,SE
2020-02-10,-0.022510841955691197,1,24679585004.171917,SE
2020-02-11,0.026129324826457134,1,25324445897.328083,SE
2020-02-12,0.012731984260792917,1,25646876343.906166,SE
2020-02-13,0.021734507801637104,1,26204298577.890415,SE
2020-02-14,0.011261749883948013,1,26499404834.358913,SE
2020-02-18,0.027840759484250466,1,27237168390.828083,SE
2020-02-19,0.027287331584828323,1,27980398036.140415,SE
2020-02-20,0.025390609720489232,1,28690837402.5,SE
2020-02-21,-0.012380981445312522,1,28335616676.96917,SE
2020-02-24,-0.07039532919183011,1,26340921613.140415,SE
2020-02-25,-0.031120331457615613,1,25521183401.640415,SE
2020-02-26,-0.005995772792713683,1,25368164184.563004,SE
2020-02-27,-0.029082260391475767,1,24630400628.093834,SE
2020-02-28,-0.0002218398402685784,1,24624936623.952747,SE
2020-03-02,0.06613403132301499,1,26253482953.9685,SE
2020-03-03,0.018942544339502376,1,26750790718.890415,SE
2020-03-04,0.07293155544804608,1,28701767495.48425,SE
2020-03-05,0.0007616320483376793,1,28723627681.452747,SE
2020-03-06,-0.04204723823110401,1,27515878465.46917,SE
2020-03-09,-0.08818269635084608,1,25089454109.921917,SE
2020-03-10,0.1041167239203622,1,27701685876.797253,SE
2020-03-11,-0.05267307637168628,1,26242552860.98425,SE
2020-03-12,-0.13306954037347019,1,22750468413.54658,SE
2020-03-13,0.06918081142264931,1,24324364278.641087,SE
2020-03-16,-0.07706125858960411,1,22449898152.936996,SE
2020-03-17,0.07740984295854081,1,24187741243.391087,SE
2020-03-18,-0.05196564221154887,1,22930809736.0315,SE
2020-03-19,-0.053860781002007196,1,21695738414.640415,SE
2020-03-20,-0.04282117708487376,1,20766701358.0,SE
2020-03-23,0.011842125340511878,1,21012623238.390415,SE
2020-03-24,0.11417423413629146,1,23411723403.828083,SE
2020-03-25,0.02801122219106622,1,24067514389.9685,SE
2020-03-26,0.038601288092618535,1,24996551446.608913,SE
2020-03-27,-0.03957151960803529,1,24007399920.906166,SE
2020-03-30,0.012064620432848727,1,24297040088.5315,SE
2020-03-31,-0.003373767752371082,1,24215067518.202747,SE
2020-04-01,-0.02572789819485022,1,23592064726.313004,SE
2020-04-02,0.03266165675039745,1,24362620646.436996,SE
2020-04-03,-0.05563040051752555,1,23007318302.21917,SE
2020-04-06,0.0641330370736033,1,24482847499.859585,SE
2020-04-07,0.009375044437392122,1,24712375283.124664,SE
2020-04-08,0.005086234763988173,1,24838068225.390415,SE
2020-04-09,-0.00836085944414533,1,24630400628.093834,SE
2020-04-13,0.04260044367968052,1,25679666622.858913,SE
2020-04-14,0.06873801717092687,1,27444835988.124664,SE
2020-04-15,-0.008761498022920367,1,27204378111.875336,SE
2020-04-16,0.08376862366209714,1,29483251423.890415,SE
2020-04-17,-0.017238188916109065,1,28975013565.98425,SE
2020-04-20,0.022632982885305575,1,29630804552.124664,SE
