date,weight_market,weight_IPO
2011-01-05,0.7764064,0.22359358
2011-01-06,0.77639395,0.22360605
2011-01-07,0.7764001,0.22359991
2011-01-10,0.7764048,0.22359528
2011-01-11,0.77640796,0.2235921
2011-01-12,0.77644473,0.22355531
2011-01-13,0.77641475,0.2235852
2011-01-14,0.7764481,0.22355194
2011-01-18,0.77644163,0.22355835
2011-01-19,0.7764319,0.22356802
2011-01-20,0.77650875,0.22349124
2011-01-21,0.77650535,0.22349466
2011-01-24,0.77644414,0.22355588
2011-01-25,0.7763702,0.2236298
2011-01-26,0.77641547,0.22358453
2011-01-27,0.7764121,0.22358787
2011-01-28,0.77640486,0.22359514
2011-01-31,0.7765021,0.22349796
2011-02-01,0.77641916,0.2235808
2011-02-02,0.776405,0.22359502
2011-02-03,0.776415,0.22358504
2011-02-04,0.7764384,0.22356154
2011-02-07,0.77641654,0.22358344
2011-02-08,0.7764338,0.22356623
2011-02-09,0.77637774,0.22362223
2011-02-10,0.77645725,0.22354272
2011-02-11,0.7764401,0.22355996
2011-02-14,0.77642137,0.22357862
2011-02-15,0.7764214,0.22357854
2011-02-16,0.776438,0.22356197
2011-02-17,0.7763688,0.22363125
2011-02-18,0.7764247,0.22357534
2011-02-22,0.7764231,0.22357687
2011-02-23,0.77651346,0.22348656
2011-02-24,0.7764794,0.22352052
2011-02-25,0.77643293,0.223567
2011-02-28,0.77638066,0.22361939
2011-03-01,0.776399,0.22360094
2011-03-02,0.77645445,0.22354557
2011-03-03,0.7764312,0.22356872
2011-03-04,0.77638626,0.22361378
2011-03-07,0.7764199,0.22358014
2011-03-08,0.77644724,0.22355275
2011-03-09,0.77640814,0.22359182
2011-03-10,0.7764346,0.22356537
2011-03-11,0.7764897,0.22351035
2011-03-14,0.77642035,0.22357962
2011-03-15,0.7764589,0.22354114
2011-03-16,0.77645266,0.22354741
2011-03-17,0.7764583,0.22354168
2011-03-18,0.77641356,0.22358641
2011-03-21,0.776388,0.22361208
2011-03-22,0.7763888,0.22361113
2011-03-23,0.7764106,0.22358942
2011-03-24,0.7764383,0.22356172
2011-03-25,0.77640164,0.22359839
2011-03-28,0.7764261,0.223574
2011-03-29,0.7764287,0.22357126
2011-03-30,0.77639014,0.22360983
2011-03-31,0.7764029,0.22359712
2011-04-01,0.7764296,0.22357044
2011-04-04,0.7764087,0.22359134
2011-04-05,0.77640146,0.2235985
2011-04-06,0.7764134,0.22358659
2011-04-07,0.7764197,0.22358024
2011-04-08,0.77641076,0.22358924
2011-04-11,0.7764335,0.2235665
2011-04-12,0.77643484,0.22356515
2011-04-13,0.77645254,0.2235474
2011-04-14,0.77643186,0.2235681
2011-04-15,0.7764231,0.22357692
2011-04-18,0.77642703,0.22357295
2011-04-19,0.7764637,0.22353633
2011-04-20,0.7764216,0.22357838
2011-04-21,0.776376,0.22362398
2011-04-25,0.7763887,0.22361134
2011-04-26,0.77641463,0.22358538
2011-04-27,0.77641094,0.22358908
2011-04-28,0.7764137,0.22358626
2011-04-29,0.77641684,0.22358319
2011-05-02,0.7764196,0.22358043
2011-05-03,0.7764216,0.22357838
2011-05-04,0.7764509,0.22354919
2011-05-05,0.77645516,0.22354487
2011-05-06,0.7764546,0.2235453
2011-05-09,0.7764287,0.22357132
2011-05-10,0.7764095,0.22359042
2011-05-11,0.7763951,0.2236049
2011-05-12,0.77644134,0.2235586
2011-05-13,0.7764237,0.22357635
2011-05-16,0.77644575,0.2235543
2011-05-17,0.77646357,0.22353646
2011-05-18,0.77644145,0.22355856
2011-05-19,0.77640074,0.22359928
2011-05-20,0.7764006,0.22359934
2011-05-23,0.7764252,0.22357479
2011-05-24,0.776465,0.22353494
2011-05-25,0.77641743,0.22358258
2011-05-26,0.77641726,0.2235827
2011-05-27,0.7764287,0.22357126
2011-05-31,0.7763906,0.22360939
2011-06-01,0.776402,0.223598
2011-06-02,0.7764877,0.22351226
2011-06-03,0.7764405,0.22355953
2011-06-06,0.77645147,0.2235485
2011-06-07,0.77646804,0.22353196
2011-06-08,0.77644217,0.22355787
2011-06-09,0.7764546,0.22354539
2011-06-10,0.7764226,0.22357741
2011-06-13,0.7764691,0.22353087
2011-06-14,0.776444,0.22355595
2011-06-15,0.7764095,0.22359048
2011-06-16,0.7764705,0.22352952
2011-06-17,0.7764646,0.22353539
2011-06-20,0.7764181,0.22358191
2011-06-21,0.77642447,0.22357558
2011-06-22,0.77640337,0.22359665
2011-06-23,0.7764212,0.22357884
2011-06-24,0.7764296,0.22357045
2011-06-27,0.7764453,0.22355469
2011-06-28,0.77641165,0.22358829
2011-06-29,0.7763669,0.22363308
2011-06-30,0.7763937,0.22360633
2011-07-01,0.77638435,0.22361557
2011-07-05,0.7763668,0.22363321
2011-07-06,0.77640736,0.22359268
2011-07-07,0.7764025,0.22359747
2011-07-08,0.7763853,0.2236147
2011-07-11,0.7764157,0.22358432
2011-07-12,0.77647185,0.22352819
2011-07-13,0.77645165,0.2235484
2011-07-14,0.776409,0.22359101
2011-07-15,0.7764492,0.22355077
2011-07-18,0.77640903,0.22359098
2011-07-19,0.776478,0.22352198
2011-07-20,0.77640605,0.22359389
2011-07-21,0.7764304,0.22356956
2011-07-22,0.77639335,0.22360666
2011-07-25,0.77641225,0.2235878
2011-07-26,0.776473,0.22352704
2011-07-27,0.77645165,0.2235484
2011-07-28,0.7764807,0.22351928
2011-07-29,0.77644235,0.22355764
2011-08-01,0.77644575,0.2235543
2011-08-02,0.7764317,0.2235684
2011-08-03,0.77651066,0.22348933
2011-08-04,0.776449,0.22355099
2011-08-05,0.77659434,0.22340566
2011-08-08,0.77652526,0.22347474
2011-08-09,0.7767359,0.22326414
2011-08-10,0.77633595,0.22366408
2011-08-11,0.77648985,0.22351018
2011-08-12,0.776324,0.22367604
2011-08-15,0.7764114,0.22358857
2011-08-16,0.77634823,0.22365177
2011-08-17,0.77645195,0.22354804
2011-08-18,0.7764333,0.22356668
2011-08-19,0.7765707,0.22342938
2011-08-22,0.77653265,0.22346736
2011-08-23,0.7764918,0.2235082
2011-08-24,0.776366,0.22363397
2011-08-25,0.77639693,0.22360304
2011-08-26,0.7764548,0.22354516
2011-08-29,0.77639616,0.2236038
2011-08-30,0.7763197,0.22368026
2011-08-31,0.7763747,0.22362536
2011-09-01,0.7763779,0.2236221
2011-09-02,0.7764377,0.22356229
2011-09-06,0.7764913,0.22350864
2011-09-07,0.77645963,0.2235404
2011-09-08,0.7763748,0.22362515
2011-09-09,0.77644014,0.22355987
2011-09-12,0.7764933,0.22350672
2011-09-13,0.7764546,0.22354534
2011-09-14,0.77640635,0.22359361
2011-09-15,0.77638626,0.22361374
2011-09-16,0.776382,0.22361803
2011-09-19,0.7763945,0.22360547
2011-09-20,0.77640545,0.22359458
2011-09-21,0.7764399,0.2235601
2011-09-22,0.7764824,0.22351763
2011-09-23,0.77654564,0.22345439
2011-09-26,0.7764571,0.22354287
2011-09-27,0.7763907,0.22360931
2011-09-28,0.77636296,0.22363698
2011-09-29,0.7764653,0.22353469
2011-09-30,0.7764328,0.22356719
2011-10-03,0.7764802,0.22351986
2011-10-04,0.7765507,0.22344927
2011-10-05,0.7764182,0.22358176
2011-10-06,0.7763879,0.2236121
2011-10-07,0.77636987,0.22363019
2011-10-10,0.7764527,0.2235473
2011-10-11,0.77635336,0.22364666
2011-10-12,0.776402,0.22359803
2011-10-13,0.7763704,0.22362958
2011-10-14,0.7763819,0.22361802
2011-10-17,0.7763538,0.22364627
2011-10-18,0.7763969,0.22360314
2011-10-19,0.7763669,0.22363311
2011-10-20,0.7764472,0.22355278
2011-10-21,0.7764001,0.22359991
2011-10-24,0.776332,0.22366801
2011-10-25,0.776323,0.22367695
2011-10-26,0.7764364,0.22356364
2011-10-27,0.7764039,0.2235961
2011-10-28,0.7762958,0.22370423
2011-10-31,0.7763501,0.22364989
2011-11-01,0.7764324,0.22356759
2011-11-02,0.7765066,0.2234934
2011-11-03,0.77641875,0.22358133
2011-11-04,0.7763899,0.22361009
2011-11-07,0.7764345,0.22356552
2011-11-08,0.77641684,0.22358315
2011-11-09,0.77639496,0.22360507
2011-11-10,0.7765054,0.22349459
2011-11-11,0.7764261,0.22357398
2011-11-14,0.7763794,0.22362061
2011-11-15,0.7764351,0.22356494
2011-11-16,0.7764203,0.22357972
2011-11-17,0.77644163,0.22355835
2011-11-18,0.7764647,0.22353524
2011-11-21,0.7764341,0.22356594
2011-11-22,0.7764836,0.22351635
2011-11-23,0.77645427,0.22354567
2011-11-25,0.77651423,0.22348578
2011-11-28,0.77646613,0.22353384
2011-11-29,0.7763898,0.22361024
2011-11-30,0.77643657,0.22356342
2011-12-01,0.7763425,0.22365752
2011-12-02,0.77639616,0.2236038
2011-12-05,0.7764,0.22359996
2011-12-06,0.7763758,0.2236243
2011-12-07,0.7764101,0.22358985
2011-12-08,0.77640706,0.22359292
2011-12-09,0.77647024,0.22352974
2011-12-12,0.7763927,0.22360733
2011-12-13,0.7764433,0.22355665
2011-12-14,0.7764559,0.22354415
2011-12-15,0.7764666,0.22353339
2011-12-16,0.7764223,0.2235777
2011-12-19,0.77641,0.2235901
2011-12-20,0.7764722,0.22352786
2011-12-21,0.7763667,0.2236333
2011-12-22,0.7764098,0.22359017
2011-12-23,0.7763943,0.22360572
2011-12-27,0.7764032,0.22359675
2011-12-28,0.77640957,0.22359039
2011-12-29,0.7764617,0.22353831
2011-12-30,0.77641195,0.223588
2012-01-03,0.7764181,0.22358193
2012-01-04,0.77638954,0.2236104
2012-01-05,0.77642125,0.22357877
2012-01-06,0.7764063,0.22359371
2012-01-09,0.7764312,0.2235688
2012-01-10,0.77643037,0.22356962
2012-01-11,0.7763612,0.22363876
2012-01-12,0.7763963,0.22360367
2012-01-13,0.77640206,0.22359797
2012-01-17,0.7764025,0.22359756
2012-01-18,0.77638984,0.22361012
2012-01-19,0.7763797,0.22362028
2012-01-20,0.776371,0.22362894
2012-01-23,0.77638143,0.22361858
2012-01-24,0.7763975,0.22360247
2012-01-25,0.7763881,0.22361189
2012-01-26,0.7764008,0.22359918
2012-01-27,0.77641726,0.22358273
2012-01-30,0.7763476,0.2236524
2012-01-31,0.77639955,0.22360049
2012-02-01,0.77640796,0.22359206
2012-02-02,0.77638537,0.22361462
2012-02-03,0.7763105,0.22368948
2012-02-06,0.7762792,0.22372083
2012-02-07,0.77638507,0.22361487
2012-02-08,0.776377,0.223623
2012-02-09,0.77639025,0.22360972
2012-02-10,0.77641755,0.22358245
2012-02-13,0.77643025,0.22356974
2012-02-14,0.7764058,0.22359417
2012-02-15,0.77636254,0.22363752
2012-02-16,0.77647173,0.22352825
2012-02-17,0.7763929,0.22360711
2012-02-21,0.7763726,0.22362742
2012-02-22,0.7764043,0.22359559
2012-02-23,0.77643937,0.22356066
2012-02-24,0.77639574,0.22360425
2012-02-27,0.77640337,0.22359665
2012-02-28,0.77639973,0.22360028
2012-02-29,0.77641183,0.22358818
2012-03-01,0.7764278,0.22357222
2012-03-02,0.7763689,0.22363107
2012-03-05,0.7764058,0.2235942
2012-03-06,0.77645665,0.2235433
2012-03-07,0.77648354,0.22351645
2012-03-08,0.7764229,0.22357717
2012-03-09,0.7764172,0.22358279
2012-03-12,0.7763979,0.22360212
2012-03-13,0.7763901,0.22360995
2012-03-14,0.7763992,0.22360083
2012-03-15,0.7764193,0.22358067
2012-03-16,0.77639574,0.22360425
2012-03-19,0.77640396,0.22359602
2012-03-20,0.7763861,0.22361395
2012-03-21,0.7764152,0.22358483
2012-03-22,0.77642906,0.2235709
2012-03-23,0.7768895,0.22311051
2012-03-26,0.77650124,0.22349879
2012-03-27,0.7764326,0.22356743
2012-03-28,0.7764325,0.22356753
2012-03-29,0.77651036,0.22348961
2012-03-30,0.7764615,0.22353849
2012-04-02,0.77643377,0.22356625
2012-04-03,0.77641267,0.22358726
2012-04-04,0.77647024,0.22352974
2012-04-05,0.7765077,0.22349225
2012-04-09,0.77644587,0.22355409
2012-04-10,0.7764571,0.22354294
2012-04-11,0.77653164,0.22346836
2012-04-12,0.7764657,0.22353427
2012-04-13,0.7764129,0.22358708
2012-04-16,0.7764954,0.22350457
2012-04-17,0.776459,0.22354108
2012-04-18,0.77639097,0.22360897
2012-04-19,0.7763985,0.22360158
2012-04-20,0.77646,0.22354008
2012-04-23,0.7764559,0.22354412
2012-04-24,0.77647233,0.22352771
2012-04-25,0.77643764,0.22356239
2012-04-26,0.77638596,0.2236141
2012-04-27,0.7763426,0.22365747
2012-04-30,0.77636266,0.22363733
2012-05-01,0.77640444,0.22359556
2012-05-02,0.7764167,0.22358327
2012-05-03,0.77640206,0.22359796
2012-05-04,0.7764874,0.22351255
2012-05-07,0.77649504,0.22350498
2012-05-08,0.7764362,0.22356382
2012-05-09,0.7764879,0.2235121
2012-05-10,0.7765037,0.22349638
2012-05-11,0.776443,0.22355703
2012-05-14,0.7763898,0.22361027
2012-05-15,0.7764364,0.22356363
2012-05-16,0.7764212,0.2235788
2012-05-17,0.7765054,0.22349459
2012-05-18,0.7764914,0.2235086
2012-05-21,0.7764877,0.22351223
2012-05-22,0.7765112,0.2234888
2012-05-23,0.7765635,0.22343646
2012-05-24,0.7764858,0.22351421
2012-05-25,0.77644026,0.2235597
2012-05-29,0.77646977,0.22353022
2012-05-30,0.7765052,0.2234948
2012-05-31,0.77653277,0.22346719
2012-06-01,0.7764217,0.22357821
2012-06-04,0.7765541,0.22344586
2012-06-05,0.7764152,0.22358479
2012-06-06,0.7764427,0.22355725
