date,weight_market,weight_IPO
2024-04-11,0.6538523,0.34614775
2024-04-12,0.6538641,0.34613597
2024-04-15,0.6538515,0.34614852
2024-04-16,0.6538462,0.34615383
2024-04-17,0.653852,0.34614798
2024-04-18,0.6538422,0.3461578
2024-04-19,0.653844,0.34615603
2024-04-22,0.6538317,0.34616828
2024-04-23,0.6538505,0.3461494
2024-04-24,0.6538638,0.34613627
2024-04-25,0.65386266,0.34613737
2024-04-26,0.65385807,0.34614196
2024-04-29,0.6538686,0.34613138
2024-04-30,0.65386915,0.34613088
2024-05-01,0.6538547,0.34614527
2024-05-02,0.65385324,0.3461468
2024-05-03,0.65386325,0.34613678
2024-05-06,0.6538711,0.34612888
2024-05-07,0.6538741,0.346126
2024-05-08,0.6538689,0.34613106
2024-05-09,0.6538637,0.34613627
2024-05-10,0.6538629,0.34613708
2024-05-13,0.6538648,0.3461352
2024-05-14,0.6538704,0.3461296
2024-05-15,0.6538703,0.34612966
2024-05-16,0.6538688,0.34613124
2024-05-17,0.6538609,0.34613913
2024-05-20,0.6538599,0.34614006
2024-05-21,0.6538592,0.3461408
2024-05-22,0.653863,0.346137
2024-05-23,0.65385896,0.34614107
2024-05-24,0.65385437,0.34614554
2024-05-28,0.6538625,0.34613755
2024-05-29,0.6538677,0.34613222
2024-05-30,0.6538602,0.34613976
2024-05-31,0.6538565,0.34614342
2024-06-03,0.6538635,0.3461365
2024-06-04,0.6538615,0.3461385
2024-06-05,0.6538594,0.34614062
2024-06-06,0.6538681,0.34613198
2024-06-07,0.6538639,0.34613612
2024-06-10,0.6538589,0.34614113
2024-06-11,0.6538612,0.3461388
2024-06-12,0.6538618,0.34613815
2024-06-13,0.6538669,0.3461331
2024-06-14,0.65386325,0.3461367
2024-06-17,0.65385836,0.34614158
2024-06-18,0.6538616,0.34613842
2024-06-20,0.653862,0.346138
2024-06-21,0.653859,0.34614095
2024-06-24,0.6538604,0.34613955
2024-06-25,0.6538583,0.34614167
2024-06-26,0.65386105,0.346139
2024-06-27,0.6538595,0.34614047
2024-06-28,0.6538578,0.3461422
2024-07-01,0.6538548,0.34614518
2024-07-02,0.6538604,0.34613964
2024-07-03,0.6538702,0.34612986
2024-07-05,0.6538681,0.3461319
2024-07-08,0.6538655,0.34613448
2024-07-09,0.65386266,0.34613732
2024-07-10,0.6538591,0.34614092
2024-07-11,0.6538621,0.3461378
2024-07-12,0.6538556,0.34614435
2024-07-15,0.65386456,0.3461354
2024-07-16,0.653866,0.346134
2024-07-17,0.65386367,0.34613627
2024-07-18,0.6538456,0.34615436
2024-07-19,0.6538477,0.3461523
2024-07-22,0.65384996,0.34615004
2024-07-23,0.6538657,0.3461343
2024-07-24,0.65386367,0.34613636
2024-07-25,0.6538442,0.34615573
2024-07-26,0.6538498,0.34615025
2024-07-29,0.6538634,0.34613663
2024-07-30,0.65385795,0.34614202
2024-07-31,0.6538523,0.3461477
2024-08-01,0.6538687,0.34613138
2024-08-02,0.653854,0.346146
2024-08-05,0.6538438,0.3461562
2024-08-06,0.653838,0.34616205
2024-08-07,0.65385765,0.34614238
2024-08-08,0.6538489,0.34615105
2024-08-09,0.65387106,0.34612894
2024-08-12,0.6538667,0.34613332
2024-08-13,0.6538629,0.34613708
2024-08-14,0.6538805,0.34611946
2024-08-15,0.6538762,0.34612373
2024-08-16,0.6538803,0.34611976
2024-08-19,0.65386987,0.3461301
2024-08-20,0.65386945,0.34613058
2024-08-21,0.6538632,0.34613684
2024-08-22,0.653866,0.34613404
2024-08-23,0.65385836,0.3461416
2024-08-26,0.65386975,0.34613025
2024-08-27,0.6538643,0.34613565
2024-08-28,0.6538653,0.3461347
2024-08-29,0.65385765,0.34614232
2024-08-30,0.6538634,0.34613663
2024-09-03,0.6538707,0.34612924
2024-09-04,0.65384877,0.34615123
2024-09-05,0.65385455,0.34614545
2024-09-06,0.65385944,0.34614056
2024-09-09,0.6538493,0.3461507
2024-09-10,0.65386426,0.34613568
2024-09-11,0.6538641,0.34613588
2024-09-12,0.6538708,0.34612915
2024-09-13,0.65387154,0.3461285
2024-09-16,0.6538684,0.34613165
2024-09-17,0.65386224,0.3461377
2024-09-18,0.6538639,0.34613606
2024-09-19,0.65386134,0.3461387
2024-09-20,0.65387225,0.34612778
2024-09-23,0.653865,0.346135
2024-09-24,0.6538642,0.34613585
2024-09-25,0.6538635,0.34613654
2024-09-26,0.65386254,0.3461374
2024-09-27,0.65386313,0.3461369
2024-09-30,0.6538602,0.3461398
2024-10-01,0.65386164,0.34613833
2024-10-02,0.6538534,0.34614655
2024-10-03,0.65385926,0.34614077
2024-10-04,0.65385795,0.34614202
2024-10-07,0.6538683,0.34613168
2024-10-08,0.6538582,0.3461418
2024-10-09,0.6538649,0.34613514
2024-10-10,0.65386516,0.34613484
2024-10-11,0.65385884,0.34614116
2024-10-14,0.65386635,0.34613362
2024-10-15,0.65386987,0.3461301
2024-10-16,0.653858,0.34614196
2024-10-17,0.65386426,0.3461357
2024-10-18,0.6538634,0.34613666
2024-10-21,0.65386695,0.3461331
2024-10-22,0.65386266,0.34613737
2024-10-23,0.6538602,0.34613976
2024-10-24,0.653855,0.34614503
2024-10-25,0.6538602,0.34613982
2024-10-28,0.6538635,0.34613654
2024-10-29,0.6538646,0.34613535
2024-10-30,0.6538653,0.34613472
2024-10-31,0.653882,0.34611803
2024-11-01,0.653875,0.34612498
2024-11-04,0.6538716,0.3461284
2024-11-05,0.65386134,0.34613863
2024-11-06,0.6538734,0.34612665
2024-11-07,0.6538819,0.34611803
2024-11-08,0.6538784,0.34612158
2024-11-11,0.6538769,0.346123
2024-11-12,0.65386784,0.3461321
2024-11-13,0.6538605,0.3461395
2024-11-14,0.6538613,0.34613872
2024-11-15,0.65385747,0.34614256
2024-11-18,0.6538491,0.34615088
2024-11-19,0.65385985,0.34614015
2024-11-20,0.6538681,0.34613195
2024-11-21,0.6538655,0.34613448
2024-11-22,0.6538759,0.34612405
2024-11-25,0.65387094,0.34612915
2024-11-26,0.65386176,0.34613833
2024-11-27,0.65385824,0.3461418
2024-11-29,0.65385777,0.3461423
2024-12-02,0.653865,0.34613502
2024-12-03,0.6538626,0.3461374
2024-12-04,0.65386397,0.346136
2024-12-05,0.653869,0.34613106
2024-12-06,0.65386254,0.34613746
2024-12-09,0.6538628,0.34613726
2024-12-10,0.65385735,0.34614265
2024-12-11,0.653853,0.3461471
2024-12-12,0.65385437,0.34614566
2024-12-13,0.6538454,0.3461546
2024-12-16,0.6538495,0.3461505
2024-12-17,0.65385634,0.3461437
2024-12-18,0.6538492,0.3461508
2024-12-19,0.6538354,0.3461646
2024-12-20,0.65384847,0.34615147
2024-12-23,0.65385795,0.34614202
2024-12-24,0.6538609,0.34613907
2024-12-26,0.6538667,0.3461332
2024-12-27,0.6538636,0.34613636
2024-12-30,0.6538543,0.34614566
2024-12-31,0.6538511,0.3461489
2025-01-02,0.6538542,0.3461458
2025-01-03,0.6538561,0.34614393
2025-01-06,0.65386796,0.34613204
2025-01-07,0.65386647,0.34613353
2025-01-08,0.6538549,0.34614512
2025-01-10,0.65385604,0.346144
2025-01-13,0.653849,0.34615096
2025-01-14,0.65385795,0.34614205
