date,weight_market,weight_IPO
2024-04-11,0.9345847,0.06541533
2024-04-12,0.9345888,0.06541124
2024-04-15,0.93458396,0.065415986
2024-04-16,0.93458253,0.06541745
2024-04-17,0.93458426,0.06541567
2024-04-18,0.93457896,0.06542107
2024-04-19,0.93458116,0.06541878
2024-04-22,0.934575,0.06542501
2024-04-23,0.9345845,0.0654155
2024-04-24,0.93458784,0.06541218
2024-04-25,0.93458843,0.06541149
2024-04-26,0.9345863,0.06541377
2024-04-29,0.9345905,0.06540944
2024-04-30,0.9345901,0.065409936
2024-05-01,0.93458575,0.06541431
2024-05-02,0.93458384,0.0654161
2024-05-03,0.9345876,0.065412365
2024-05-06,0.93459004,0.065409996
2024-05-07,0.9345912,0.0654088
2024-05-08,0.9345896,0.06541039
2024-05-09,0.9345873,0.06541264
2024-05-10,0.9345866,0.06541344
2024-05-13,0.93458897,0.065411076
2024-05-14,0.93459177,0.06540816
2024-05-15,0.9345896,0.06541037
2024-05-16,0.93458784,0.06541215
2024-05-17,0.9345869,0.06541308
2024-05-20,0.9345859,0.06541405
2024-05-21,0.93458605,0.065413944
2024-05-22,0.93458813,0.06541187
2024-05-23,0.93458617,0.065413885
2024-05-24,0.9345852,0.06541473
2024-05-28,0.9345874,0.06541254
2024-05-29,0.9345912,0.06540884
2024-05-30,0.9345867,0.06541328
2024-05-31,0.93458647,0.06541356
2024-06-03,0.9345872,0.06541276
2024-06-04,0.9345874,0.06541257
2024-06-05,0.93458605,0.06541389
2024-06-06,0.9345895,0.06541055
2024-06-07,0.93458813,0.06541189
2024-06-10,0.9345859,0.065414
2024-06-11,0.9345873,0.06541271
2024-06-12,0.9345873,0.06541274
2024-06-13,0.93458897,0.065411
2024-06-14,0.9345874,0.06541255
2024-06-17,0.93458563,0.06541438
2024-06-18,0.9345867,0.06541336
2024-06-20,0.9345876,0.06541242
2024-06-21,0.9345866,0.0654134
2024-06-24,0.9345876,0.06541238
2024-06-25,0.93458635,0.06541364
2024-06-26,0.934587,0.06541296
2024-06-27,0.93458635,0.06541357
2024-06-28,0.93458563,0.0654144
2024-07-01,0.93458533,0.06541466
2024-07-02,0.9345876,0.06541242
2024-07-03,0.93459165,0.06540832
2024-07-05,0.9345891,0.0654109
2024-07-08,0.93458825,0.065411754
2024-07-09,0.93458796,0.06541211
2024-07-10,0.93458587,0.0654141
2024-07-11,0.93458647,0.06541352
2024-07-12,0.9345863,0.06541379
2024-07-15,0.93458855,0.06541143
2024-07-16,0.93458927,0.065410756
2024-07-17,0.934587,0.06541304
2024-07-18,0.9345813,0.06541873
2024-07-19,0.9345834,0.06541654
2024-07-22,0.93458366,0.06541629
2024-07-23,0.9345894,0.06541058
2024-07-24,0.93458843,0.065411605
2024-07-25,0.9345817,0.06541833
2024-07-26,0.93458396,0.06541599
2024-07-29,0.93458754,0.06541252
2024-07-30,0.9345851,0.06541492
2024-07-31,0.93458396,0.06541601
2024-08-01,0.9345895,0.06541056
2024-08-02,0.9345849,0.06541509
2024-08-05,0.9345817,0.06541829
2024-08-06,0.9345817,0.06541833
2024-08-07,0.9345852,0.065414764
2024-08-08,0.934582,0.065417975
2024-08-09,0.9345899,0.06541006
2024-08-12,0.93458796,0.0654121
2024-08-13,0.9345873,0.06541264
