date,weight_market,weight_IPO
2024-04-11,0.6634958,0.33650425
2024-04-12,0.6634682,0.33653182
2024-04-15,0.6635028,0.3364971
2024-04-16,0.66350484,0.33649522
2024-04-17,0.66348946,0.33651054
2024-04-18,0.6635195,0.33648053
2024-04-19,0.6634941,0.3365059
2024-04-22,0.6635275,0.33647245
2024-04-23,0.66346,0.33653995
2024-04-24,0.66345865,0.33654138
2024-04-25,0.6634661,0.33653393
2024-04-26,0.6634867,0.33651328
2024-04-29,0.6634597,0.33654034
2024-04-30,0.6634722,0.33652785
2024-05-01,0.6635002,0.33649978
2024-05-02,0.66350377,0.33649617
2024-05-03,0.6634751,0.33652493
2024-05-06,0.6634657,0.33653432
2024-05-07,0.66346455,0.3365355
2024-05-08,0.6634787,0.33652133
2024-05-09,0.66349095,0.33650905
2024-05-10,0.6634901,0.33650985
2024-05-13,0.6634723,0.33652768
2024-05-14,0.6634607,0.3365393
2024-05-15,0.6634828,0.33651724
2024-05-16,0.66348916,0.33651087
2024-05-17,0.6634878,0.33651224
2024-05-20,0.6634908,0.3365093
2024-05-21,0.6634866,0.33651337
2024-05-22,0.66347384,0.33652607
2024-05-23,0.66349006,0.33650994
2024-05-24,0.66349244,0.33650756
2024-05-28,0.66347766,0.33652237
2024-05-29,0.66345865,0.3365413
2024-05-30,0.6634958,0.3365042
2024-05-31,0.66349053,0.33650947
2024-06-03,0.6634839,0.3365161
2024-06-04,0.6634811,0.33651894
2024-06-05,0.66348886,0.3365111
2024-06-06,0.6634662,0.33653378
2024-06-07,0.66347986,0.3365201
2024-06-10,0.6634916,0.3365084
2024-06-11,0.66347945,0.33652058
2024-06-12,0.66348106,0.33651894
2024-06-13,0.6634712,0.3365288
2024-06-14,0.66348344,0.3365166
2024-06-17,0.66349137,0.33650854
2024-06-18,0.6634808,0.3365192
2024-06-20,0.66347533,0.33652467
2024-06-21,0.6634843,0.33651578
2024-06-24,0.66347796,0.33652207
2024-06-25,0.66348785,0.3365122
2024-06-26,0.6634818,0.3365182
2024-06-27,0.6634852,0.33651477
2024-06-28,0.66348815,0.33651182
2024-07-01,0.663487,0.33651295
2024-07-02,0.6634734,0.3365266
2024-07-03,0.6634542,0.3365458
2024-07-05,0.6634804,0.33651963
2024-07-08,0.6634818,0.33651823
2024-07-09,0.6634806,0.33651936
2024-07-10,0.6634911,0.33650896
2024-07-11,0.6634822,0.33651778
2024-07-12,0.663483,0.33651704
2024-07-15,0.66347104,0.33652893
2024-07-16,0.66347146,0.3365285
2024-07-17,0.6634877,0.33651233
2024-07-18,0.6635148,0.33648518
2024-07-19,0.663491,0.33650896
2024-07-22,0.66349137,0.33650866
2024-07-23,0.6634587,0.3365413
2024-07-24,0.66347647,0.33652356
2024-07-25,0.66351765,0.3364824
2024-07-26,0.6634933,0.3365067
2024-07-29,0.66347367,0.3365264
2024-07-30,0.66349214,0.33650783
2024-07-31,0.66349477,0.3365053
2024-08-01,0.6634607,0.3365393
2024-08-02,0.6634971,0.33650294
2024-08-05,0.6635116,0.33648843
2024-08-06,0.6635069,0.33649307
2024-08-07,0.6634868,0.33651322
2024-08-08,0.6635069,0.3364931
2024-08-09,0.66345465,0.33654538
2024-08-12,0.66348,0.33652005
2024-08-13,0.66348344,0.33651656
2024-08-14,0.66344005,0.33655992
2024-08-15,0.6634767,0.3365233
2024-08-16,0.6634724,0.33652756
2024-08-19,0.6634913,0.33650872
2024-08-20,0.66348827,0.33651173
2024-08-21,0.663491,0.33650896
2024-08-22,0.66348225,0.3365177
2024-08-23,0.6634969,0.3365031
2024-08-26,0.66347086,0.3365291
2024-08-27,0.66348875,0.33651125
2024-08-28,0.6634829,0.33651707
2024-08-29,0.6635025,0.33649743
2024-08-30,0.6634749,0.33652505
2024-09-03,0.66347647,0.33652353
2024-09-04,0.66351783,0.3364822
2024-09-05,0.6634894,0.33651057
2024-09-06,0.6634809,0.33651915
2024-09-09,0.66350716,0.3364929
2024-09-10,0.66347355,0.33652648
2024-09-11,0.6634833,0.33651665
2024-09-12,0.66346526,0.3365347
2024-09-13,0.6634746,0.33652544
2024-09-16,0.6634813,0.33651868
2024-09-17,0.6634924,0.3365076
2024-09-18,0.6634749,0.3365251
2024-09-19,0.6634891,0.33651087
2024-09-20,0.66347104,0.33652902
2024-09-23,0.66348225,0.3365177
2024-09-24,0.6634858,0.3365142
2024-09-25,0.66348475,0.33651528
2024-09-26,0.6634799,0.3365201
2024-09-27,0.6634894,0.3365106
2024-09-30,0.6634861,0.3365139
2024-10-01,0.66348714,0.33651283
2024-10-02,0.6634971,0.336503
2024-10-03,0.6634778,0.3365223
2024-10-04,0.66349006,0.33650997
2024-10-07,0.6634621,0.33653793
2024-10-08,0.66349316,0.33650687
2024-10-09,0.66347927,0.33652073
2024-10-10,0.6634799,0.3365201
2024-10-11,0.66348994,0.33651003
2024-10-14,0.66346514,0.3365348
2024-10-15,0.66347295,0.33652708
2024-10-16,0.6634957,0.33650428
2024-10-17,0.6634742,0.3365258
2024-10-18,0.663483,0.33651704
2024-10-21,0.66347057,0.33652943
2024-10-22,0.66348773,0.33651233
2024-10-23,0.66348845,0.33651158
2024-10-24,0.663492,0.336508
2024-10-25,0.6634835,0.3365165
2024-10-28,0.66347176,0.33652818
2024-10-29,0.66348267,0.33651733
2024-10-30,0.66347474,0.33652526
2024-10-31,0.66339415,0.33660582
2024-11-01,0.66348773,0.33651227
2024-11-04,0.6635037,0.33649638
