date,weight_market,weight_commodities
2022-02-07,0.21711637,0.7828836
2022-02-08,0.5432138,0.45678627
2022-02-09,0.50975,0.49025005
2022-02-10,0.6198624,0.38013762
2022-02-11,0.37976575,0.62023425
2022-02-14,0.9374268,0.06257321
2022-02-15,0.6752487,0.32475123
2022-02-16,0.048383247,0.9516167
2022-02-17,0.19767137,0.8023287
2022-02-18,0.8816625,0.118337475
2022-02-22,0.41163287,0.58836716
2022-02-23,0.31949434,0.68050563
2022-02-24,0.5493466,0.45065337
2022-02-25,0.047438987,0.9525611
2022-02-28,0.024603533,0.9753965
2022-03-01,0.04119357,0.95880646
2022-03-02,0.73992825,0.26007175
2022-03-03,0.02928062,0.97071934
2022-03-04,0.058807828,0.9411922
2022-03-07,0.8670427,0.13295725
2022-03-08,0.99287534,0.00712469
2022-03-09,0.999255,0.00074493315
2022-03-10,0.02959585,0.97040415
2022-03-11,0.24247093,0.7575291
2022-03-14,0.30331916,0.69668084
2022-03-15,0.032518454,0.96748155
2022-03-16,0.022452792,0.97754717
2022-03-17,0.03311605,0.96688396
2022-03-18,0.066836946,0.9331631
2022-03-21,0.060475964,0.93952405
2022-03-22,0.49083468,0.5091653
2022-03-23,0.44547826,0.55452174
2022-03-24,0.9917162,0.008283812
2022-03-25,0.99751425,0.002485722
2022-03-28,0.9989747,0.001025308
2022-03-29,0.98644954,0.013550442
2022-03-30,0.9972632,0.0027367806
2022-03-31,0.99979776,0.00020229354
2022-04-01,0.9999018,9.825069e-05
2022-04-04,0.9998041,0.00019591217
2022-04-05,0.99994814,5.182766e-05
2022-04-06,0.99982363,0.00017643937
2022-04-07,0.99940574,0.000594293
2022-04-08,0.99783546,0.002164566
2022-04-11,0.99783176,0.0021682067
2022-04-12,0.99174434,0.008255619
2022-04-13,0.9931619,0.0068381047
2022-04-14,0.9820962,0.017903816
2022-04-18,0.9259534,0.07404665
2022-04-19,0.9186746,0.08132542
2022-04-20,0.0766892,0.92331076
2022-04-21,0.3147969,0.6852032
2022-04-22,0.18321152,0.8167885
2022-04-25,0.14739162,0.8526083
2022-04-26,0.16499497,0.835005
2022-04-27,0.60962224,0.39037782
2022-04-28,0.66951233,0.33048767
2022-04-29,0.5078331,0.49216685
2022-05-02,0.693326,0.30667406
2022-05-03,0.58398813,0.4160119
2022-05-04,0.4452496,0.55475044
2022-05-05,0.21238823,0.7876118
2022-05-06,0.34766713,0.65233284
2022-05-09,0.19917543,0.8008246
2022-05-10,0.39202884,0.60797113
2022-05-11,0.42272297,0.57727706
2022-05-12,0.64780486,0.35219514
2022-05-13,0.65249705,0.3475029
2022-05-16,0.5130818,0.48691824
2022-05-17,0.51728487,0.48271516
