,SPY,IPO_INDEX
2025-07-09,1.3684461e-05,0.9999863
2025-07-10,1.3684408e-05,0.9999863
2025-07-11,1.3684957e-05,0.9999863
2025-07-14,1.3684539e-05,0.9999863
2025-07-15,1.3682334e-05,0.9999863
2025-07-16,1.3683965e-05,0.9999863
2025-07-17,1.3682268e-05,0.9999863
2025-07-18,1.3683026e-05,0.9999863
2025-07-21,1.3684813e-05,0.9999863
2025-07-22,1.3685035e-05,0.9999863
2025-07-23,1.36842e-05,0.9999863
2025-07-24,1.3685374e-05,0.9999863
2025-07-25,1.3684408e-05,0.9999863
2025-07-28,1.3683639e-05,0.9999863
2025-07-29,1.3682934e-05,0.9999863
2025-07-30,1.3684278e-05,0.9999863
2025-07-31,1.3683548e-05,0.9999863
2025-08-01,1.3681603e-05,0.9999863
2025-08-04,1.3685635e-05,0.9999863
2025-08-05,1.3684696e-05,0.9999863
2025-08-06,1.3683691e-05,0.9999863
2025-08-07,1.3682504e-05,0.9999863
2025-08-08,1.3679842e-05,0.9999863
2025-08-11,1.3680612e-05,0.9999863
2025-08-12,1.3679712e-05,0.9999863
2025-08-13,1.3679033e-05,0.9999863
2025-08-14,1.3681929e-05,0.9999863
2025-08-15,1.3686418e-05,0.9999863
2025-08-18,1.36857925e-05,0.9999863
2025-08-19,1.36848785e-05,0.9999863
2025-08-20,1.3686915e-05,0.9999863
2025-08-21,1.3681982e-05,0.9999863
2025-08-22,1.36785375e-05,0.9999863
2025-08-25,1.367885e-05,0.9999863
2025-08-26,1.3681486e-05,0.9999863
2025-08-27,1.3683573e-05,0.9999863
2025-08-28,1.3682895e-05,0.9999863
2025-08-29,1.3679372e-05,0.9999863
2025-09-02,1.368146e-05,0.9999863
2025-09-03,1.3684748e-05,0.9999863
2025-09-04,1.3685557e-05,0.9999863
2025-09-05,1.3686823e-05,0.9999863
2025-09-08,1.368039e-05,0.9999863
2025-09-09,1.3679737e-05,0.9999863
2025-09-10,1.3673581e-05,0.9999863
2025-09-11,1.3675329e-05,0.9999863
2025-09-12,1.367709e-05,0.9999863
2025-09-15,1.3681407e-05,0.9999863
2025-09-16,1.3681042e-05,0.9999863
2025-09-17,1.368065e-05,0.9999863
2025-09-18,1.3682399e-05,0.9999863
2025-09-19,1.3679815e-05,0.9999863
2025-09-22,1.3679751e-05,0.9999863
2025-09-23,1.3681094e-05,0.9999863
2025-09-24,1.36833905e-05,0.9999863
2025-09-25,1.3685296e-05,0.9999863
2025-09-26,1.3688207e-05,0.9999863
2025-09-29,1.3689317e-05,0.9999863
2025-09-30,1.3686079e-05,0.9999863
2025-10-01,1.3683026e-05,0.9999863
2025-10-02,1.3682699e-05,0.9999863
2025-10-03,1.3677193e-05,0.9999863
2025-10-06,1.3679659e-05,0.9999863
2025-10-07,1.3679907e-05,0.9999863
2025-10-08,1.3681199e-05,0.9999863
2025-10-09,1.3676711e-05,0.9999863
2025-10-10,1.3679842e-05,0.9999863
2025-10-13,1.3685427e-05,0.9999863
2025-10-14,1.3685414e-05,0.9999863
2025-10-15,1.3684905e-05,0.9999863
2025-10-16,1.368403e-05,0.9999863
2025-10-17,1.3685688e-05,0.9999863
2025-10-20,1.3688142e-05,0.9999863
2025-10-21,1.3685896e-05,0.9999863
2025-10-22,1.368373e-05,0.9999863
2025-10-23,1.3685688e-05,0.9999863
2025-10-24,1.3682765e-05,0.9999863
2025-10-27,1.3677911e-05,0.9999863
2025-10-28,1.3679398e-05,0.9999863
2025-10-29,1.3682007e-05,0.9999863
2025-10-30,1.3682621e-05,0.9999863
2025-10-31,1.3685283e-05,0.9999863
2025-11-03,1.3683887e-05,0.9999863
2025-11-04,1.368373e-05,0.9999863
2025-11-05,1.368493e-05,0.9999863
2025-11-06,1.3684461e-05,0.9999863
2025-11-07,1.3684408e-05,0.9999863
2025-11-10,1.3682973e-05,0.9999863
2025-11-11,1.3679607e-05,0.9999863
2025-11-12,1.368009e-05,0.9999863
2025-11-13,1.3681747e-05,0.9999863
2025-11-14,1.368668e-05,0.9999863
2025-11-17,1.3684735e-05,0.9999863
2025-11-18,1.3684827e-05,0.9999863
2025-11-19,1.3685127e-05,0.9999863
2025-11-20,1.3678198e-05,0.9999863
2025-11-21,1.36805465e-05,0.9999863
2025-11-24,1.3683078e-05,0.9999863
2025-11-25,1.3681016e-05,0.9999863
2025-11-26,1.368112e-05,0.9999863
2025-11-28,1.3680938e-05,0.9999863
2025-12-01,1.3681355e-05,0.9999863
2025-12-02,1.3683117e-05,0.9999863
2025-12-03,1.3683704e-05,0.9999863
2025-12-04,1.36816425e-05,0.9999863
2025-12-05,1.3677754e-05,0.9999863
2025-12-08,1.368159e-05,0.9999863
2025-12-09,1.3683065e-05,0.9999863
2025-12-10,1.3681564e-05,0.9999863
2025-12-11,1.3682765e-05,0.9999863
2025-12-12,1.36821645e-05,0.9999863
2025-12-15,1.3684017e-05,0.9999863
2025-12-16,1.3687176e-05,0.9999863
2025-12-17,1.36848e-05,0.9999863
2025-12-18,1.3683626e-05,0.9999863
2025-12-19,1.3683104e-05,0.9999863
2025-12-22,1.3680494e-05,0.9999863
2025-12-23,1.3679607e-05,0.9999863
2025-12-24,1.3682765e-05,0.9999863
2025-12-26,1.36833905e-05,0.9999863
2025-12-29,1.3684435e-05,0.9999863
2025-12-30,1.368373e-05,0.9999863
2025-12-31,1.3683626e-05,0.9999863
