decision_idx,eval_idx,train_end_idx,decision_date,eval_date,is_update_step,update_attempted,update_applied,gate_mode,gate_passed,gate_reason,gate_val_improvement,gate_relative_improvement
252,252,251,2021-07-19,2021-07-19,1,1,1,cadence,1,bootstrap_accept,2.8384383767843246e-06,0.0019595086829065334
253,253,252,2021-07-20,2021-07-20,0,0,0,cadence,1,not_update_step,,
254,254,253,2021-07-21,2021-07-21,0,0,0,cadence,1,not_update_step,,
255,255,254,2021-07-22,2021-07-22,0,0,0,cadence,1,not_update_step,,
256,256,255,2021-07-23,2021-07-23,0,0,0,cadence,1,not_update_step,,
257,257,256,2021-07-26,2021-07-26,1,1,1,cadence,1,cadence_accept,6.111571565270424e-06,0.00201945303522095
258,258,257,2021-07-27,2021-07-27,0,0,0,cadence,1,not_update_step,,
259,259,258,2021-07-28,2021-07-28,0,0,0,cadence,1,not_update_step,,
260,260,259,2021-07-29,2021-07-29,0,0,0,cadence,1,not_update_step,,
261,261,260,2021-07-30,2021-07-30,0,0,0,cadence,1,not_update_step,,
262,262,261,2021-08-02,2021-08-02,1,1,1,cadence,1,cadence_accept,4.245201125741005e-06,0.00198342551080101
263,263,262,2021-08-03,2021-08-03,0,0,0,cadence,1,not_update_step,,
264,264,263,2021-08-04,2021-08-04,0,0,0,cadence,1,not_update_step,,
265,265,264,2021-08-05,2021-08-05,0,0,0,cadence,1,not_update_step,,
266,266,265,2021-08-06,2021-08-06,0,0,0,cadence,1,not_update_step,,
267,267,266,2021-08-09,2021-08-09,1,1,1,cadence,1,cadence_accept,6.054295226931572e-06,0.002765011160650133
268,268,267,2021-08-10,2021-08-10,0,0,0,cadence,1,not_update_step,,
269,269,268,2021-08-11,2021-08-11,0,0,0,cadence,1,not_update_step,,
270,270,269,2021-08-12,2021-08-12,0,0,0,cadence,1,not_update_step,,
271,271,270,2021-08-13,2021-08-13,0,0,0,cadence,1,not_update_step,,
272,272,271,2021-08-16,2021-08-16,1,1,1,cadence,1,cadence_accept,6.431713700294495e-06,0.0028273394624960613
273,273,272,2021-08-17,2021-08-17,0,0,0,cadence,1,not_update_step,,
274,274,273,2021-08-18,2021-08-18,0,0,0,cadence,1,not_update_step,,
275,275,274,2021-08-19,2021-08-19,0,0,0,cadence,1,not_update_step,,
276,276,275,2021-08-20,2021-08-20,0,0,0,cadence,1,not_update_step,,
277,277,276,2021-08-23,2021-08-23,1,1,1,cadence,1,cadence_accept,5.0497474148869514e-06,0.0030568033923521537
278,278,277,2021-08-24,2021-08-24,0,0,0,cadence,1,not_update_step,,
279,279,278,2021-08-25,2021-08-25,0,0,0,cadence,1,not_update_step,,
280,280,279,2021-08-26,2021-08-26,0,0,0,cadence,1,not_update_step,,
281,281,280,2021-08-27,2021-08-27,0,0,0,cadence,1,not_update_step,,
282,282,281,2021-08-30,2021-08-30,1,1,1,cadence,1,cadence_accept,6.659189239144325e-06,0.0030190987193909266
283,283,282,2021-08-31,2021-08-31,0,0,0,cadence,1,not_update_step,,
284,284,283,2021-09-01,2021-09-01,0,0,0,cadence,1,not_update_step,,
285,285,284,2021-09-02,2021-09-02,0,0,0,cadence,1,not_update_step,,
286,286,285,2021-09-03,2021-09-03,0,0,0,cadence,1,not_update_step,,
287,287,286,2021-09-07,2021-09-07,1,1,1,cadence,1,cadence_accept,1.2025237083435059e-05,0.0044889121298336025
288,288,287,2021-09-08,2021-09-08,0,0,0,cadence,1,not_update_step,,
289,289,288,2021-09-09,2021-09-09,0,0,0,cadence,1,not_update_step,,
290,290,289,2021-09-10,2021-09-10,0,0,0,cadence,1,not_update_step,,
291,291,290,2021-09-13,2021-09-13,1,1,1,cadence,1,cadence_accept,7.898546755313873e-06,0.005060198368348047
292,292,291,2021-09-14,2021-09-14,0,0,0,cadence,1,not_update_step,,
293,293,292,2021-09-15,2021-09-15,0,0,0,cadence,1,not_update_step,,
294,294,293,2021-09-16,2021-09-16,0,0,0,cadence,1,not_update_step,,
295,295,294,2021-09-17,2021-09-17,0,0,0,cadence,1,not_update_step,,
296,296,295,2021-09-20,2021-09-20,1,1,1,cadence,1,cadence_accept,1.4219898730516434e-05,0.007223937566293759
297,297,296,2021-09-21,2021-09-21,0,0,0,cadence,1,not_update_step,,
298,298,297,2021-09-22,2021-09-22,0,0,0,cadence,1,not_update_step,,
299,299,298,2021-09-23,2021-09-23,0,0,0,cadence,1,not_update_step,,
300,300,299,2021-09-24,2021-09-24,0,0,0,cadence,1,not_update_step,,
301,301,300,2021-09-27,2021-09-27,1,1,1,cadence,1,cadence_accept,1.7034821212291718e-05,0.008150782566588861
302,302,301,2021-09-28,2021-09-28,0,0,0,cadence,1,not_update_step,,
303,303,302,2021-09-29,2021-09-29,0,0,0,cadence,1,not_update_step,,
304,304,303,2021-09-30,2021-09-30,0,0,0,cadence,1,not_update_step,,
305,305,304,2021-10-01,2021-10-01,0,0,0,cadence,1,not_update_step,,
306,306,305,2021-10-04,2021-10-04,1,1,1,cadence,1,cadence_accept,1.2015574611723423e-05,0.010672601475520845
307,307,306,2021-10-05,2021-10-05,0,0,0,cadence,1,not_update_step,,
308,308,307,2021-10-06,2021-10-06,0,0,0,cadence,1,not_update_step,,
309,309,308,2021-10-07,2021-10-07,0,0,0,cadence,1,not_update_step,,
310,310,309,2021-10-08,2021-10-08,0,0,0,cadence,1,not_update_step,,
311,311,310,2021-10-11,2021-10-11,1,1,1,cadence,1,cadence_accept,1.1679483577609062e-05,0.011550821484714405
312,312,311,2021-10-12,2021-10-12,0,0,0,cadence,1,not_update_step,,
313,313,312,2021-10-13,2021-10-13,0,0,0,cadence,1,not_update_step,,
314,314,313,2021-10-14,2021-10-14,0,0,0,cadence,1,not_update_step,,
315,315,314,2021-10-15,2021-10-15,0,0,0,cadence,1,not_update_step,,
316,316,315,2021-10-18,2021-10-18,1,1,1,cadence,1,cadence_accept,3.671098966151476e-06,0.006116901682937194
317,317,316,2021-10-19,2021-10-19,0,0,0,cadence,1,not_update_step,,
318,318,317,2021-10-20,2021-10-20,0,0,0,cadence,1,not_update_step,,
319,319,318,2021-10-21,2021-10-21,0,0,0,cadence,1,not_update_step,,
320,320,319,2021-10-22,2021-10-22,0,0,0,cadence,1,not_update_step,,
321,321,320,2021-10-25,2021-10-25,1,1,1,cadence,1,cadence_accept,7.283291779458523e-06,0.007168928212793675
322,322,321,2021-10-26,2021-10-26,0,0,0,cadence,1,not_update_step,,
323,323,322,2021-10-27,2021-10-27,0,0,0,cadence,1,not_update_step,,
324,324,323,2021-10-28,2021-10-28,0,0,0,cadence,1,not_update_step,,
325,325,324,2021-10-29,2021-10-29,0,0,0,cadence,1,not_update_step,,
326,326,325,2021-11-01,2021-11-01,1,1,1,cadence,1,cadence_accept,9.741866961121559e-06,0.005824014294521332
327,327,326,2021-11-02,2021-11-02,0,0,0,cadence,1,not_update_step,,
328,328,327,2021-11-03,2021-11-03,0,0,0,cadence,1,not_update_step,,
329,329,328,2021-11-04,2021-11-04,0,0,0,cadence,1,not_update_step,,
330,330,329,2021-11-05,2021-11-05,0,0,0,cadence,1,not_update_step,,
331,331,330,2021-11-08,2021-11-08,1,1,1,cadence,1,cadence_accept,6.127404049038887e-06,0.004117102359408813
332,332,331,2021-11-09,2021-11-09,0,0,0,cadence,1,not_update_step,,
333,333,332,2021-11-10,2021-11-10,0,0,0,cadence,1,not_update_step,,
334,334,333,2021-11-11,2021-11-11,0,0,0,cadence,1,not_update_step,,
335,335,334,2021-11-12,2021-11-12,0,0,0,cadence,1,not_update_step,,
336,336,335,2021-11-15,2021-11-15,1,1,1,cadence,1,cadence_accept,2.7054338715970516e-06,0.0030849515538023966
337,337,336,2021-11-16,2021-11-16,0,0,0,cadence,1,not_update_step,,
338,338,337,2021-11-17,2021-11-17,0,0,0,cadence,1,not_update_step,,
339,339,338,2021-11-18,2021-11-18,0,0,0,cadence,1,not_update_step,,
340,340,339,2021-11-19,2021-11-19,0,0,0,cadence,1,not_update_step,,
341,341,340,2021-11-22,2021-11-22,1,1,1,cadence,1,cadence_accept,-3.3993273973464966e-07,-0.0003286153765411403
342,342,341,2021-11-23,2021-11-23,0,0,0,cadence,1,not_update_step,,
343,343,342,2021-11-24,2021-11-24,0,0,0,cadence,1,not_update_step,,
344,344,343,2021-11-26,2021-11-26,0,0,0,cadence,1,not_update_step,,
345,345,344,2021-11-29,2021-11-29,1,1,1,cadence,1,cadence_accept,-8.40783104649745e-06,-0.1798643853882226
346,346,345,2021-11-30,2021-11-30,0,0,0,cadence,1,not_update_step,,
347,347,346,2021-12-01,2021-12-01,0,0,0,cadence,1,not_update_step,,
348,348,347,2021-12-02,2021-12-02,0,0,0,cadence,1,not_update_step,,
349,349,348,2021-12-03,2021-12-03,0,0,0,cadence,1,not_update_step,,
350,350,349,2021-12-06,2021-12-06,1,1,1,cadence,1,cadence_accept,-1.782923936843872e-05,-0.019343387995805712
351,351,350,2021-12-07,2021-12-07,0,0,0,cadence,1,not_update_step,,
352,352,351,2021-12-08,2021-12-08,0,0,0,cadence,1,not_update_step,,
353,353,352,2021-12-09,2021-12-09,0,0,0,cadence,1,not_update_step,,
354,354,353,2021-12-10,2021-12-10,0,0,0,cadence,1,not_update_step,,
355,355,354,2021-12-13,2021-12-13,1,1,1,cadence,1,cadence_accept,-9.582960046827793e-06,-0.009977033916097375
356,356,355,2021-12-14,2021-12-14,0,0,0,cadence,1,not_update_step,,
357,357,356,2021-12-15,2021-12-15,0,0,0,cadence,1,not_update_step,,
358,358,357,2021-12-16,2021-12-16,0,0,0,cadence,1,not_update_step,,
359,359,358,2021-12-17,2021-12-17,0,0,0,cadence,1,not_update_step,,
360,360,359,2021-12-20,2021-12-20,1,1,1,cadence,1,cadence_accept,-1.0313204256817698e-05,-0.08342480490275037
361,361,360,2021-12-21,2021-12-21,0,0,0,cadence,1,not_update_step,,
362,362,361,2021-12-22,2021-12-22,0,0,0,cadence,1,not_update_step,,
363,363,362,2021-12-23,2021-12-23,0,0,0,cadence,1,not_update_step,,
364,364,363,2021-12-27,2021-12-27,1,1,1,cadence,1,cadence_accept,-5.469715688377619e-06,-0.0063466713384773875
365,365,364,2021-12-28,2021-12-28,0,0,0,cadence,1,not_update_step,,
366,366,365,2021-12-29,2021-12-29,0,0,0,cadence,1,not_update_step,,
367,367,366,2021-12-30,2021-12-30,0,0,0,cadence,1,not_update_step,,
368,368,367,2021-12-31,2021-12-31,0,0,0,cadence,1,not_update_step,,
369,369,368,2022-01-03,2022-01-03,1,1,1,cadence,1,cadence_accept,-4.174275090917945e-06,-0.010737395134979053
370,370,369,2022-01-04,2022-01-04,0,0,0,cadence,1,not_update_step,,
371,371,370,2022-01-05,2022-01-05,0,0,0,cadence,1,not_update_step,,
372,372,371,2022-01-06,2022-01-06,0,0,0,cadence,1,not_update_step,,
373,373,372,2022-01-07,2022-01-07,0,0,0,cadence,1,not_update_step,,
374,374,373,2022-01-10,2022-01-10,1,1,1,cadence,1,cadence_accept,-1.204339787364006e-05,-0.007948314896215952
375,375,374,2022-01-11,2022-01-11,0,0,0,cadence,1,not_update_step,,
376,376,375,2022-01-12,2022-01-12,0,0,0,cadence,1,not_update_step,,
377,377,376,2022-01-13,2022-01-13,0,0,0,cadence,1,not_update_step,,
378,378,377,2022-01-14,2022-01-14,0,0,0,cadence,1,not_update_step,,
379,379,378,2022-01-18,2022-01-18,1,1,1,cadence,1,cadence_accept,-1.5833182260394096e-05,-0.004752731860153063
380,380,379,2022-01-19,2022-01-19,0,0,0,cadence,1,not_update_step,,
381,381,380,2022-01-20,2022-01-20,0,0,0,cadence,1,not_update_step,,
382,382,381,2022-01-21,2022-01-21,0,0,0,cadence,1,not_update_step,,
383,383,382,2022-01-24,2022-01-24,1,1,1,cadence,1,cadence_accept,-1.7035752534866333e-05,-0.0030667479565070865
384,384,383,2022-01-25,2022-01-25,0,0,0,cadence,1,not_update_step,,
385,385,384,2022-01-26,2022-01-26,0,0,0,cadence,1,not_update_step,,
386,386,385,2022-01-27,2022-01-27,0,0,0,cadence,1,not_update_step,,
387,387,386,2022-01-28,2022-01-28,0,0,0,cadence,1,not_update_step,,
388,388,387,2022-01-31,2022-01-31,1,1,1,cadence,1,cadence_accept,-2.214033156633377e-05,-0.0031437057546192353
389,389,388,2022-02-01,2022-02-01,0,0,0,cadence,1,not_update_step,,
390,390,389,2022-02-02,2022-02-02,0,0,0,cadence,1,not_update_step,,
391,391,390,2022-02-03,2022-02-03,0,0,0,cadence,1,not_update_step,,
392,392,391,2022-02-04,2022-02-04,0,0,0,cadence,1,not_update_step,,
393,393,392,2022-02-07,2022-02-07,1,1,1,cadence,1,cadence_accept,-8.238013833761215e-06,-0.0020952492163986425
394,394,393,2022-02-08,2022-02-08,0,0,0,cadence,1,not_update_step,,
395,395,394,2022-02-09,2022-02-09,0,0,0,cadence,1,not_update_step,,
396,396,395,2022-02-10,2022-02-10,0,0,0,cadence,1,not_update_step,,
397,397,396,2022-02-11,2022-02-11,0,0,0,cadence,1,not_update_step,,
398,398,397,2022-02-14,2022-02-14,1,1,1,cadence,1,cadence_accept,-3.547174856066704e-06,-0.0013117156391947887
399,399,398,2022-02-15,2022-02-15,0,0,0,cadence,1,not_update_step,,
400,400,399,2022-02-16,2022-02-16,0,0,0,cadence,1,not_update_step,,
401,401,400,2022-02-17,2022-02-17,0,0,0,cadence,1,not_update_step,,
402,402,401,2022-02-18,2022-02-18,0,0,0,cadence,1,not_update_step,,
403,403,402,2022-02-22,2022-02-22,1,1,1,cadence,1,cadence_accept,-2.020038664340973e-06,-0.0004930072634972984
404,404,403,2022-02-23,2022-02-23,0,0,0,cadence,1,not_update_step,,
405,405,404,2022-02-24,2022-02-24,0,0,0,cadence,1,not_update_step,,
406,406,405,2022-02-25,2022-02-25,0,0,0,cadence,1,not_update_step,,
407,407,406,2022-02-28,2022-02-28,1,1,1,cadence,1,cadence_accept,-1.3993121683597565e-07,-4.466692519041837e-05
408,408,407,2022-03-01,2022-03-01,0,0,0,cadence,1,not_update_step,,
409,409,408,2022-03-02,2022-03-02,0,0,0,cadence,1,not_update_step,,
410,410,409,2022-03-03,2022-03-03,0,0,0,cadence,1,not_update_step,,
411,411,410,2022-03-04,2022-03-04,0,0,0,cadence,1,not_update_step,,
