,SPY,IPO_INDEX
2020-07-06,0.46028894,0.53971106
2020-07-07,0.44335786,0.5566421
2020-07-08,0.42655262,0.57344735
2020-07-09,0.40989754,0.59010243
2020-07-10,0.3933258,0.6066742
2020-07-13,0.37688297,0.623117
2020-07-14,0.36063945,0.63936055
2020-07-15,0.3445197,0.65548027
2020-07-16,0.32852444,0.6714756
2020-07-17,0.31265184,0.6873482
2020-07-20,0.31279644,0.6872035
2020-07-21,0.2681825,0.73181754
2020-07-22,0.26868805,0.731312
2020-07-23,0.22446197,0.7755381
2020-07-24,0.22535995,0.77464
2020-07-27,0.18159825,0.81840175
2020-07-28,0.18284526,0.81715477
2020-07-29,0.13945943,0.86054057
2020-07-30,0.14105079,0.8589492
2020-07-31,0.098047435,0.90195256
2020-08-03,0.1000101,0.8999899
2020-08-04,0.057435602,0.94256437
2020-08-05,0.05974081,0.9402592
2020-08-06,0.017489165,0.9825108
2020-08-07,0.020097822,0.9799022
2020-08-10,0.0,1.0
2020-08-11,0.048245296,0.9517547
2020-08-12,0.0063563883,0.99364364
2020-08-13,0.05453652,0.9454635
2020-08-14,0.012638032,0.98736197
2020-08-17,0.015491873,0.98450816
2020-08-18,0.0,1.0
2020-08-19,0.04822728,0.9517727
2020-08-20,0.03732893,0.96267104
2020-08-21,0.070745915,0.92925406
2020-08-24,0.059619278,0.9403807
2020-08-25,0.09276119,0.9072388
2020-08-26,0.081460744,0.9185393
2020-08-27,0.11442503,0.88557494
2020-08-28,0.103087336,0.8969127
2020-08-31,0.13595751,0.8640425
2020-09-01,0.12452409,0.8754759
2020-09-02,0.17187111,0.82812893
2020-09-03,0.18040968,0.81959033
2020-09-04,0.1889186,0.8110814
2020-09-08,0.19738385,0.8026162
2020-09-09,0.20540945,0.79459053
2020-09-10,0.18623272,0.8137673
2020-09-11,0.21091788,0.78908217
2020-09-14,0.22071311,0.7792869
2020-09-15,0.23057738,0.76942265
2020-09-16,0.26823267,0.7317673
2020-09-17,0.30587533,0.69412464
2020-09-18,0.34344444,0.6565556
2020-09-21,0.3692406,0.63075936
2020-09-22,0.39507905,0.604921
2020-09-23,0.42090273,0.5790973
2020-09-24,0.44678012,0.5532199
2020-09-25,0.47266865,0.52733135
2020-09-28,0.49852884,0.50147116
2020-09-29,0.5099163,0.49008366
2020-09-30,0.5212812,0.47871882
