date,weight_market,weight_IPO
2022-01-25,0.8335561,0.16644384
2022-01-26,0.8335527,0.16644722
2022-01-27,0.83355504,0.16644499
2022-01-28,0.8335576,0.16644241
2022-01-31,0.83356327,0.16643672
2022-02-01,0.83356965,0.16643041
2022-02-02,0.8335695,0.16643041
2022-02-03,0.8335591,0.16644086
2022-02-04,0.8335565,0.16644353
2022-02-07,0.8335678,0.16643223
2022-02-08,0.8335654,0.16643462
2022-02-09,0.8335729,0.16642702
2022-02-10,0.833575,0.16642499
2022-02-11,0.83356357,0.16643643
2022-02-14,0.8335544,0.16644563
2022-02-15,0.83355993,0.16644002
2022-02-16,0.8335671,0.16643295
2022-02-17,0.8335618,0.16643822
2022-02-18,0.833562,0.16643801
2022-02-22,0.83355606,0.16644394
2022-02-23,0.83355325,0.16644676
2022-02-24,0.8335424,0.16645761
2022-02-25,0.8335622,0.16643785
2022-02-28,0.83355993,0.16644002
2022-03-01,0.8335654,0.16643462
2022-03-02,0.833561,0.16643901
2022-03-03,0.8335569,0.16644308
2022-03-04,0.83355755,0.16644244
2022-03-07,0.8335523,0.16644765
2022-03-08,0.8335557,0.16644423
2022-03-09,0.8335641,0.1664359
2022-03-10,0.83355963,0.1664404
2022-03-11,0.83355397,0.166446
2022-03-14,0.833548,0.16645199
2022-03-15,0.8335482,0.1664518
2022-03-16,0.83355707,0.16644298
2022-03-17,0.8335692,0.16643082
2022-03-18,0.83356714,0.16643286
2022-03-21,0.8335672,0.16643277
2022-03-22,0.8335578,0.16644222
2022-03-23,0.833565,0.16643499
2022-03-24,0.83356196,0.16643806
2022-03-25,0.83356804,0.16643195
2022-03-28,0.8335605,0.1664395
2022-03-29,0.83355993,0.16644002
2022-03-30,0.833569,0.16643107
2022-03-31,0.83356345,0.16643658
2022-04-01,0.83356017,0.16643979
2022-04-04,0.83356315,0.16643678
2022-04-05,0.833564,0.16643596
2022-04-06,0.83355886,0.16644111
2022-04-07,0.8335565,0.16644356
2022-04-08,0.8335539,0.1664461
2022-04-11,0.8335486,0.16645141
2022-04-12,0.83355945,0.16644056
2022-04-13,0.8335576,0.16644238
2022-04-14,0.8335408,0.16645922
2022-04-18,0.83354694,0.16645303
2022-04-19,0.83355296,0.16644701
2022-04-20,0.8335548,0.16644521
2022-04-21,0.8335538,0.16644616
2022-04-22,0.83355623,0.16644374
2022-04-25,0.83355635,0.16644363
2022-04-26,0.8335605,0.16643947
2022-04-27,0.83355284,0.16644718
2022-04-28,0.83355945,0.16644052
2022-04-29,0.83355856,0.16644152
2022-05-02,0.8335569,0.16644314
2022-05-03,0.8335614,0.16643852
2022-05-04,0.83355737,0.1664426
2022-05-05,0.8335669,0.1664331
2022-05-06,0.8335625,0.16643743
2022-05-09,0.83355623,0.16644377
2022-05-10,0.83353955,0.16646041
2022-05-11,0.8335541,0.166446
2022-05-12,0.8335417,0.16645826
2022-05-13,0.8335557,0.16644426
2022-05-16,0.83356524,0.16643475
2022-05-17,0.8335518,0.16644816
2022-05-18,0.8335534,0.16644664
2022-05-19,0.8335561,0.16644385
2022-05-20,0.833566,0.16643396
2022-05-23,0.8335563,0.16644369
2022-05-24,0.8335529,0.16644706
2022-05-25,0.8335525,0.16644754
2022-05-26,0.8335695,0.16643041
2022-05-27,0.8335639,0.16643605
2022-05-31,0.83355796,0.16644205
2022-06-01,0.8335611,0.16643894
2022-06-02,0.83356327,0.16643672
2022-06-03,0.8335692,0.16643076
2022-06-06,0.8335676,0.16643237
2022-06-07,0.8335543,0.16644572
2022-06-08,0.8335663,0.16643365
2022-06-09,0.8335614,0.16643852
2022-06-10,0.8335516,0.16644847
2022-06-13,0.83356136,0.16643865
2022-06-14,0.83355737,0.16644268
2022-06-15,0.8335558,0.16644418
2022-06-16,0.8335572,0.16644277
2022-06-17,0.83355373,0.1664463
2022-06-21,0.83356357,0.1664364
2022-06-22,0.8335692,0.1664308
2022-06-23,0.8335642,0.16643575
2022-06-24,0.8335624,0.16643766
2022-06-27,0.83356345,0.16643658
2022-06-28,0.83356583,0.16643417
2022-06-29,0.8335577,0.16644225
2022-06-30,0.83355653,0.1664435
2022-07-01,0.833551,0.16644904
2022-07-05,0.83355737,0.1664426
2022-07-06,0.8335655,0.16643448
2022-07-07,0.8335614,0.1664386
2022-07-08,0.83356845,0.16643158
2022-07-11,0.8335533,0.16644672
2022-07-12,0.83354586,0.16645412
2022-07-13,0.8335466,0.1664534
2022-07-14,0.8335529,0.16644706
2022-07-15,0.83355445,0.16644554
2022-07-18,0.8335657,0.16643427
2022-07-19,0.83356464,0.16643529
2022-07-20,0.8335722,0.16642779
2022-07-21,0.83358413,0.16641584
2022-07-22,0.8335712,0.16642882
2022-07-25,0.83356196,0.16643804
2022-07-26,0.8335688,0.1664312
2022-07-27,0.83355975,0.16644025
