date,weight_market,weight_IPO
2022-01-25,0.8416374,0.1583626
2022-01-26,0.84163463,0.1583653
2022-01-27,0.8416349,0.15836513
2022-01-28,0.8416355,0.15836444
2022-01-31,0.84164083,0.15835921
2022-02-01,0.84164596,0.15835398
2022-02-02,0.8416445,0.15835543
2022-02-03,0.8416374,0.15836267
2022-02-04,0.8416341,0.15836595
2022-02-07,0.84164166,0.15835835
2022-02-08,0.8416405,0.15835948
2022-02-09,0.84164536,0.15835458
2022-02-10,0.8416473,0.15835263
2022-02-11,0.8416402,0.15835983
2022-02-14,0.84163296,0.15836705
2022-02-15,0.8416372,0.15836284
2022-02-16,0.84164226,0.15835772
2022-02-17,0.84163827,0.15836167
2022-02-18,0.8416374,0.15836267
2022-02-22,0.8416355,0.15836447
2022-02-23,0.8416328,0.15836722
2022-02-24,0.841626,0.15837406
2022-02-25,0.84163904,0.158361
2022-02-28,0.841637,0.15836298
2022-03-01,0.8416403,0.15835968
2022-03-02,0.841635,0.15836497
2022-03-03,0.8416339,0.1583661
2022-03-04,0.8416348,0.15836522
2022-03-07,0.8416327,0.15836729
2022-03-08,0.8416325,0.15836757
2022-03-09,0.8416362,0.15836382
2022-03-10,0.84163815,0.1583619
2022-03-11,0.84163195,0.158368
2022-03-14,0.84162843,0.15837161
2022-03-15,0.8416291,0.15837096
2022-03-16,0.841636,0.15836398
2022-03-17,0.84164375,0.15835619
2022-03-18,0.8416423,0.15835768
2022-03-21,0.84164375,0.15835625
2022-03-22,0.8416368,0.15836324
2022-03-23,0.8416406,0.15835947
2022-03-24,0.8416387,0.15836133
2022-03-25,0.84164274,0.15835726
2022-03-28,0.8416376,0.15836234
2022-03-29,0.841638,0.15836197
2022-03-30,0.8416449,0.15835512
2022-03-31,0.84164125,0.1583588
2022-04-01,0.8416387,0.15836123
2022-04-04,0.84164006,0.15835989
2022-04-05,0.84164125,0.15835874
2022-04-06,0.8416372,0.15836276
2022-04-07,0.8416355,0.15836447
2022-04-08,0.8416342,0.15836576
2022-04-11,0.8416303,0.15836969
2022-04-12,0.84163743,0.15836255
2022-04-13,0.84163624,0.1583637
2022-04-14,0.8416236,0.15837641
2022-04-18,0.8416273,0.1583727
2022-04-19,0.8416312,0.1583688
2022-04-20,0.8416339,0.15836613
2022-04-21,0.8416321,0.15836789
2022-04-22,0.8416328,0.15836725
2022-04-25,0.84163576,0.15836428
2022-04-26,0.8416384,0.15836163
2022-04-27,0.8416322,0.15836775
2022-04-28,0.8416382,0.15836178
2022-04-29,0.84163785,0.15836217
2022-05-02,0.8416361,0.15836388
2022-05-03,0.84163857,0.15836143
2022-05-04,0.8416364,0.1583636
2022-05-05,0.84164274,0.15835719
2022-05-06,0.8416394,0.15836057
2022-05-09,0.8416361,0.15836391
2022-05-10,0.8416246,0.15837538
2022-05-11,0.8416323,0.15836774
2022-05-12,0.84162486,0.15837516
2022-05-13,0.84163594,0.15836409
2022-05-16,0.8416409,0.15835911
2022-05-17,0.8416327,0.1583673
2022-05-18,0.8416354,0.15836458
2022-05-19,0.8416358,0.1583641
2022-05-20,0.8416413,0.15835863
2022-05-23,0.84163576,0.15836428
2022-05-24,0.8416334,0.15836664
2022-05-25,0.8416326,0.1583673
2022-05-26,0.84164387,0.15835613
2022-05-27,0.84164304,0.15835702
2022-05-31,0.84163845,0.15836157
2022-06-01,0.84163857,0.15836151
2022-06-02,0.84163964,0.15836038
2022-06-03,0.84164464,0.15835533
2022-06-06,0.8416425,0.15835749
2022-06-07,0.84163475,0.15836528
2022-06-08,0.8416425,0.15835752
2022-06-09,0.84163845,0.15836152
2022-06-10,0.8416321,0.15836792
2022-06-13,0.8416378,0.15836222
2022-06-14,0.84163517,0.15836488
2022-06-15,0.84163576,0.15836425
2022-06-16,0.8416364,0.15836355
2022-06-17,0.84163254,0.15836747
2022-06-21,0.8416387,0.1583613
2022-06-22,0.84164345,0.15835658
2022-06-23,0.84164023,0.15835981
2022-06-24,0.84163904,0.15836093
2022-06-27,0.8416396,0.15836045
2022-06-28,0.8416407,0.15835927
2022-06-29,0.8416345,0.15836549
2022-06-30,0.84163374,0.15836625
2022-07-01,0.8416315,0.15836856
2022-07-05,0.84163564,0.15836427
2022-07-06,0.84164226,0.15835777
2022-07-07,0.8416392,0.15836082
2022-07-08,0.8416427,0.15835734
2022-07-11,0.8416364,0.1583636
2022-07-12,0.8416301,0.15836987
2022-07-13,0.8416316,0.15836835
2022-07-14,0.841635,0.15836504
2022-07-15,0.8416339,0.15836613
2022-07-18,0.84164083,0.15835921
2022-07-19,0.8416396,0.1583604
2022-07-20,0.8416451,0.15835492
2022-07-21,0.841654,0.15834604
2022-07-22,0.84164566,0.15835439
2022-07-25,0.84163743,0.15836258
2022-07-26,0.84164184,0.15835817
2022-07-27,0.8416362,0.15836377
2022-07-28,0.84164494,0.15835501
2022-07-29,0.8416368,0.15836321
2022-08-01,0.8416396,0.15836048
2022-08-02,0.84164655,0.15835346
2022-08-03,0.84164274,0.15835722
2022-08-04,0.84164226,0.15835778
2022-08-05,0.8416386,0.15836138
2022-08-08,0.84163755,0.15836245
2022-08-09,0.8416374,0.1583626
2022-08-10,0.8416334,0.15836656
2022-08-11,0.8416455,0.15835452
2022-08-12,0.84164226,0.15835772
2022-08-15,0.841649,0.158351
2022-08-16,0.84165037,0.15834968
2022-08-17,0.84165907,0.15834096
2022-08-18,0.84164655,0.15835343
2022-08-19,0.8416435,0.15835643
2022-08-22,0.8416493,0.15835072
2022-08-23,0.8416398,0.1583602
2022-08-24,0.8416355,0.15836447
2022-08-25,0.84164554,0.15835443
2022-08-26,0.8416423,0.15835762
2022-08-29,0.8416291,0.1583709
2022-08-30,0.84163535,0.15836468
2022-08-31,0.8416307,0.15836935
2022-09-01,0.84163624,0.15836377
2022-09-02,0.8416331,0.15836695
2022-09-06,0.8416412,0.15835889
2022-09-07,0.84164286,0.15835713
