date,weight_market,weight_IPO
2022-01-25,0.7623502,0.23764983
2022-01-26,0.762351,0.23764905
2022-01-27,0.7623507,0.23764928
2022-01-28,0.76235247,0.23764755
2022-01-31,0.7623507,0.23764928
2022-02-01,0.7623489,0.23765108
2022-02-02,0.76234907,0.23765092
2022-02-03,0.7623508,0.23764916
2022-02-04,0.7623532,0.23764686
2022-02-07,0.7623517,0.23764828
2022-02-08,0.76234865,0.2376513
2022-02-09,0.76235235,0.23764767
2022-02-10,0.76235163,0.23764837
2022-02-11,0.7623511,0.23764893
2022-02-14,0.76235193,0.23764805
2022-02-15,0.7623532,0.23764683
2022-02-16,0.76235294,0.23764701
2022-02-17,0.76235366,0.23764633
2022-02-18,0.7623579,0.23764212
2022-02-22,0.7623548,0.23764527
2022-02-23,0.76235324,0.23764674
2022-02-24,0.7623506,0.2376494
2022-02-25,0.7623495,0.23765047
2022-02-28,0.76234996,0.23765004
2022-03-01,0.76235205,0.23764798
2022-03-02,0.7623519,0.23764813
2022-03-03,0.7623484,0.23765162
2022-03-04,0.7623519,0.23764817
2022-03-07,0.7623511,0.23764895
2022-03-08,0.762354,0.237646
2022-03-09,0.7623533,0.23764667
2022-03-10,0.76234645,0.23765355
2022-03-11,0.7623479,0.23765206
2022-03-14,0.7623489,0.23765108
2022-03-15,0.7623508,0.23764917
2022-03-16,0.76234853,0.23765147
2022-03-17,0.76234823,0.23765172
2022-03-18,0.76234764,0.23765233
2022-03-21,0.76234776,0.23765221
2022-03-22,0.76234883,0.23765118
2022-03-23,0.76235116,0.23764883
2022-03-24,0.76235336,0.23764664
2022-03-25,0.762353,0.23764691
2022-03-28,0.7623512,0.23764873
2022-03-29,0.76235163,0.23764832
2022-03-30,0.76235193,0.23764808
2022-03-31,0.7623559,0.237644
2022-04-01,0.7623559,0.23764403
2022-04-04,0.76235425,0.23764569
2022-04-05,0.7623512,0.23764873
2022-04-06,0.76235324,0.23764674
2022-04-07,0.7623534,0.23764655
2022-04-08,0.7623515,0.23764844
2022-04-11,0.7623486,0.23765135
2022-04-12,0.7623516,0.2376484
2022-04-13,0.7623511,0.23764886
2022-04-14,0.76231533,0.23768465
2022-04-18,0.76233524,0.23766476
2022-04-19,0.76234204,0.23765801
2022-04-20,0.7623408,0.23765926
2022-04-21,0.7623436,0.23765634
2022-04-22,0.76234627,0.2376538
2022-04-25,0.76234955,0.23765041
2022-04-26,0.7623479,0.2376521
2022-04-27,0.762351,0.23764905
2022-04-28,0.7623547,0.2376453
2022-04-29,0.7623506,0.2376494
2022-05-02,0.7623518,0.23764825
2022-05-03,0.76234853,0.23765147
2022-05-04,0.7623511,0.2376489
2022-05-05,0.7623519,0.23764814
2022-05-06,0.7623555,0.23764445
2022-05-09,0.76235414,0.23764591
2022-05-10,0.7623446,0.23765543
2022-05-11,0.76235074,0.23764928
2022-05-12,0.7623459,0.23765409
2022-05-13,0.76234585,0.23765421
2022-05-16,0.7623448,0.23765524
2022-05-17,0.7623468,0.23765321
2022-05-18,0.7623479,0.23765214
2022-05-19,0.76235163,0.23764831
2022-05-20,0.76235014,0.2376499
2022-05-23,0.7623476,0.23765242
2022-05-24,0.76234776,0.23765227
2022-05-25,0.76235044,0.2376495
2022-05-26,0.7623584,0.2376416
2022-05-27,0.76235205,0.23764798
2022-05-31,0.76234573,0.23765424
2022-06-01,0.7623527,0.23764734
2022-06-02,0.7623583,0.23764166
2022-06-03,0.7623534,0.2376466
2022-06-06,0.7623575,0.23764256
2022-06-07,0.76234984,0.23765013
2022-06-08,0.76235443,0.23764561
2022-06-09,0.7623507,0.23764932
2022-06-10,0.76234734,0.23765264
2022-06-13,0.7623551,0.23764493
2022-06-14,0.76235294,0.23764703
2022-06-15,0.76235247,0.2376475
2022-06-16,0.76234555,0.23765445
2022-06-17,0.76234686,0.23765314
2022-06-21,0.76235235,0.23764762
2022-06-22,0.762353,0.23764698
2022-06-23,0.7623494,0.23765059
2022-06-24,0.7623457,0.23765433
2022-06-27,0.7623457,0.23765427
2022-06-28,0.76235706,0.23764297
2022-06-29,0.7623522,0.23764776
2022-06-30,0.76234674,0.23765329
2022-07-01,0.7623465,0.2376535
2022-07-05,0.7623459,0.2376541
2022-07-06,0.76235163,0.23764837
2022-07-07,0.7623498,0.2376502
2022-07-08,0.76235574,0.23764427
2022-07-11,0.7623479,0.23765203
2022-07-12,0.7623461,0.23765391
2022-07-13,0.7623444,0.23765555
2022-07-14,0.762346,0.23765399
2022-07-15,0.76234555,0.23765443
2022-07-18,0.76235294,0.23764701
2022-07-19,0.76235545,0.23764452
2022-07-20,0.7623559,0.23764403
2022-07-21,0.76235735,0.23764266
2022-07-22,0.76235384,0.2376461
2022-07-25,0.76234674,0.2376533
2022-07-26,0.76235336,0.23764661
2022-07-27,0.7623541,0.23764595
2022-07-28,0.7623536,0.23764642
2022-07-29,0.7623463,0.23765367
2022-08-01,0.7623307,0.23766927
2022-08-02,0.76233065,0.23766935
2022-08-03,0.7623168,0.23768324
2022-08-04,0.76234543,0.23765455
2022-08-05,0.76235396,0.23764607
2022-08-08,0.76235545,0.23764452
2022-08-09,0.76235795,0.23764202
2022-08-10,0.762355,0.23764496
2022-08-11,0.76235205,0.23764798
2022-08-12,0.76235926,0.23764068
2022-08-15,0.7623625,0.23763753
2022-08-16,0.7623653,0.23763467
2022-08-17,0.762368,0.237632
2022-08-18,0.76236016,0.23763983
2022-08-19,0.7623523,0.23764774
2022-08-22,0.7623641,0.23763588
2022-08-23,0.7623585,0.23764148
2022-08-24,0.7623578,0.23764226
2022-08-25,0.76235956,0.23764044
2022-08-26,0.7623554,0.23764457
2022-08-29,0.7623498,0.23765023
2022-08-30,0.7623578,0.23764221
2022-08-31,0.76234716,0.23765284
2022-09-01,0.76235276,0.23764727
2022-09-02,0.76234055,0.23765944
2022-09-06,0.762363,0.23763701
2022-09-07,0.762368,0.23763205
2022-09-08,0.76236004,0.23764
2022-09-09,0.7623604,0.23763959
2022-09-12,0.76235735,0.23764263
2022-09-13,0.7623532,0.23764686
2022-09-14,0.7623527,0.23764734
2022-09-15,0.7623356,0.23766443
2022-09-16,0.7623463,0.23765367
2022-09-19,0.7623481,0.23765188
2022-09-20,0.76235706,0.2376429
2022-09-21,0.7623519,0.23764813
2022-09-22,0.7623559,0.23764409
2022-09-23,0.7623502,0.23764983
2022-09-26,0.76234984,0.23765017
2022-09-27,0.76234466,0.23765533
2022-09-28,0.7623538,0.2376462
2022-09-29,0.7623568,0.23764315
2022-09-30,0.7623497,0.23765026
2022-10-03,0.7623547,0.23764534
2022-10-04,0.7623508,0.23764916
2022-10-05,0.76235145,0.23764855
2022-10-06,0.76235104,0.23764901
2022-10-07,0.76234585,0.23765421
2022-10-10,0.7623512,0.23764874
2022-10-11,0.76235574,0.23764427
2022-10-12,0.7623514,0.23764859
2022-10-13,0.7623374,0.23766267
2022-10-14,0.7623497,0.23765026
