date,weight_market,weight_IPO
2022-01-25,0.8445516,0.15544835
2022-01-26,0.84454983,0.1554502
2022-01-27,0.84455216,0.15544789
2022-01-28,0.8445536,0.15544645
2022-01-31,0.84455913,0.15544088
2022-02-01,0.84456736,0.15543266
2022-02-02,0.8445678,0.15543222
2022-02-03,0.8445558,0.15544416
2022-02-04,0.8445531,0.15544696
2022-02-07,0.8445639,0.15543608
2022-02-08,0.8445609,0.15543906
2022-02-09,0.8445695,0.1554305
2022-02-10,0.8445719,0.15542813
2022-02-11,0.8445598,0.15544018
2022-02-14,0.84455115,0.15544891
2022-02-15,0.8445571,0.15544292
2022-02-16,0.8445643,0.15543567
2022-02-17,0.8445592,0.15544084
2022-02-18,0.8445601,0.15543991
2022-02-22,0.8445531,0.15544695
2022-02-23,0.84454936,0.15545061
2022-02-24,0.8445402,0.15545988
2022-02-25,0.8445592,0.15544076
2022-02-28,0.8445583,0.15544176
2022-03-01,0.8445624,0.1554376
2022-03-02,0.84455895,0.15544106
2022-03-03,0.84455454,0.15544544
2022-03-04,0.8445543,0.15544568
2022-03-07,0.8445492,0.15545087
2022-03-08,0.84455156,0.1554485
2022-03-09,0.844563,0.15543693
2022-03-10,0.8445592,0.15544079
2022-03-11,0.84455395,0.15544611
2022-03-14,0.84454703,0.15545294
2022-03-15,0.84454644,0.15545352
2022-03-16,0.8445555,0.15544453
2022-03-17,0.8445688,0.15543118
2022-03-18,0.84456676,0.1554332
2022-03-21,0.8445654,0.15543455
2022-03-22,0.8445562,0.15544373
2022-03-23,0.8445641,0.15543598
2022-03-24,0.84455895,0.15544108
2022-03-25,0.84456396,0.15543601
2022-03-28,0.84455657,0.15544343
2022-03-29,0.84455734,0.15544271
2022-03-30,0.84456706,0.15543294
2022-03-31,0.8445603,0.1554397
2022-04-01,0.8445556,0.15544438
2022-04-04,0.844559,0.15544093
2022-04-05,0.84455997,0.15544002
2022-04-06,0.8445532,0.15544683
2022-04-07,0.8445508,0.1554492
2022-04-08,0.84454983,0.15545015
2022-04-11,0.8445468,0.15545318
2022-04-12,0.8445561,0.15544392
2022-04-13,0.84455377,0.15544626
2022-04-14,0.84453464,0.15546533
2022-04-18,0.8445446,0.15545547
2022-04-19,0.8445502,0.15544985
2022-04-20,0.8445536,0.15544641
2022-04-21,0.84455234,0.15544772
2022-04-22,0.84455174,0.15544824
2022-04-25,0.8445513,0.15544866
2022-04-26,0.8445564,0.15544362
2022-04-27,0.8445488,0.15545115
2022-04-28,0.8445561,0.15544394
2022-04-29,0.844557,0.155443
2022-05-02,0.84455276,0.15544727
2022-05-03,0.84455615,0.1554439
2022-05-04,0.8445531,0.15544687
2022-05-05,0.84456253,0.15543745
2022-05-06,0.84455496,0.1554451
2022-05-09,0.84455085,0.15544914
2022-05-10,0.8445321,0.15546794
2022-05-11,0.8445491,0.15545094
2022-05-12,0.84453726,0.15546273
2022-05-13,0.8445531,0.15544689
2022-05-16,0.84456617,0.15543379
2022-05-17,0.84455115,0.15544884
2022-05-18,0.8445522,0.15544774
2022-05-19,0.84455156,0.1554485
2022-05-20,0.8445637,0.15543632
2022-05-23,0.8445531,0.15544687
2022-05-24,0.8445524,0.15544762
2022-05-25,0.844549,0.155451
2022-05-26,0.84456635,0.15543365
2022-05-27,0.84456116,0.1554388
2022-05-31,0.8445582,0.15544176
2022-06-01,0.84455895,0.155441
2022-06-02,0.84456074,0.1554393
2022-06-03,0.8445673,0.1554327
2022-06-06,0.8445643,0.1554357
2022-06-07,0.84455055,0.15544951
2022-06-08,0.8445622,0.15543778
2022-06-09,0.8445568,0.1554432
2022-06-10,0.8445464,0.1554536
2022-06-13,0.8445547,0.15544528
2022-06-14,0.8445492,0.15545088
2022-06-15,0.8445516,0.15544836
2022-06-16,0.84455436,0.1554456
2022-06-17,0.84454757,0.15545246
2022-06-21,0.8445589,0.1554411
2022-06-22,0.84456676,0.15543322
2022-06-23,0.84455895,0.15544105
2022-06-24,0.84455717,0.15544285
2022-06-27,0.84455955,0.1554405
2022-06-28,0.84456396,0.15543598
2022-06-29,0.84455514,0.15544485
2022-06-30,0.84455174,0.15544824
2022-07-01,0.8445472,0.15545274
2022-07-05,0.84455353,0.15544648
2022-07-06,0.8445616,0.15543844
2022-07-07,0.8445583,0.15544173
2022-07-08,0.8445683,0.15543172
2022-07-11,0.8445519,0.15544814
2022-07-12,0.8445432,0.15545683
2022-07-13,0.84454507,0.1554549
2022-07-14,0.8445496,0.1554504
2022-07-15,0.8445507,0.15544927
2022-07-18,0.844563,0.15543698
2022-07-19,0.8445644,0.1554356
2022-07-20,0.84457016,0.15542984
2022-07-21,0.8445767,0.15542327
2022-07-22,0.84456575,0.15543422
2022-07-25,0.8445555,0.15544449
2022-07-26,0.84456295,0.15543705
2022-07-27,0.8445548,0.15544516
2022-07-28,0.84457076,0.15542927
2022-07-29,0.84456587,0.15543412
2022-08-01,0.8445767,0.1554233
2022-08-02,0.84457207,0.15542798
2022-08-03,0.8445777,0.15542223
2022-08-04,0.8445821,0.15541787
2022-08-05,0.8445711,0.15542892
2022-08-08,0.8445633,0.15543666
