epoch,train_loss,val_loss,train_mean_return,train_mean_log1p_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_mean_log1p_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,train_diag_grad_norm_pre_mean,train_diag_grad_norm_pre_max,train_diag_grad_norm_post_mean,train_diag_grad_norm_post_max,train_diag_nan_loss_batches,train_diag_nan_grad_batches,train_diag_skipped_nan_batches,train_term_breakdown,val_term_breakdown,lr
1,0.10351978987455368,0.06530551612377167,0.001478043229629596,0.001223092491272837,-0.0032852987836425505,0.00033740868093445897,0.0005165269443144401,0.10335514942804973,1.630406150828397e-07,0.0,0.002574509708210826,0.002375013427808881,-0.001133309444412589,1.0941041637124727e-06,0.0003995546721853316,0.06731337308883667,1.21481416506114e-12,0.0,0.5389051735401154,0.6430010795593262,0.5389051735401154,0.6430010795593262,0,0,0,"{'mean': {'raw': -0.001478043229629596, 'lambda': 1.0, 'weighted': -0.001478043229629596}, 'log_growth': {'raw': -0.001223092491272837, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0032852987836425505, 'lambda': 0.5, 'weighted': 0.0016426493918212752}, 'turnover': {'raw': 0.00033740868093445897, 'lambda': 0.0001, 'weighted': 3.3740867877440905e-08}, 'volatility': {'raw': 0.0005165269443144401, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.10335514942804973, 'lambda': 1.0, 'weighted': 0.10335514942804973}, 'weight_path': {'raw': 1.630406150828397e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002574509708210826, 'lambda': 1.0, 'weighted': -0.002574509708210826}, 'log_growth': {'raw': -0.002375013427808881, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.001133309444412589, 'lambda': 0.5, 'weighted': 0.0005666547222062945}, 'turnover': {'raw': 1.0941041637124727e-06, 'lambda': 0.0001, 'weighted': 1.0941041128642581e-10}, 'volatility': {'raw': 0.0003995546721853316, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.06731337308883667, 'lambda': 1.0, 'weighted': 0.06731337308883667}, 'weight_path': {'raw': 1.21481416506114e-12, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
2,0.09975680677841108,0.061307813972234726,0.0014628569673125942,0.001213113156457742,-0.003209671354852617,0.0013821681883806984,0.0005057470116298646,0.09961468974749248,1.663263636449604e-06,0.0,0.0025436878204345703,0.002349103568121791,-0.0010778838768601418,2.28432463700301e-06,0.0003895426634699106,0.06331256031990051,5.272989510307635e-12,0.0,0.5730692148208618,0.7166814804077148,0.5730692148208618,0.7166814804077148,0,0,0,"{'mean': {'raw': -0.0014628569673125942, 'lambda': 1.0, 'weighted': -0.0014628569673125942}, 'log_growth': {'raw': -0.001213113156457742, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.003209671354852617, 'lambda': 0.5, 'weighted': 0.0016048356774263084}, 'turnover': {'raw': 0.0013821681883806984, 'lambda': 0.0001, 'weighted': 1.3821681221770632e-07}, 'volatility': {'raw': 0.0005057470116298646, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.09961468974749248, 'lambda': 1.0, 'weighted': 0.09961468974749248}, 'weight_path': {'raw': 1.663263636449604e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0025436878204345703, 'lambda': 1.0, 'weighted': -0.0025436878204345703}, 'log_growth': {'raw': -0.002349103568121791, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0010778838768601418, 'lambda': 0.5, 'weighted': 0.0005389419384300709}, 'turnover': {'raw': 2.28432463700301e-06, 'lambda': 0.0001, 'weighted': 2.2843245350845365e-10}, 'volatility': {'raw': 0.0003895426634699106, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.06331256031990051, 'lambda': 1.0, 'weighted': 0.06331256031990051}, 'weight_path': {'raw': 5.272989510307635e-12, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
3,0.09522431654234727,0.05653064325451851,0.0014438598494355877,0.0012003230901124577,-0.003119877694795529,0.002644891928260525,0.0004929184700207164,0.09510797262191772,5.4709450220495155e-06,0.0,0.0025067476090043783,0.002317956415936351,-0.0010129857109859586,3.555058128767996e-06,0.00037774333031848073,0.05853089690208435,1.2763523744852012e-11,0.0,0.6204054256280264,0.762927770614624,0.6204054256280264,0.762927770614624,0,0,0,"{'mean': {'raw': -0.0014438598494355877, 'lambda': 1.0, 'weighted': -0.0014438598494355877}, 'log_growth': {'raw': -0.0012003230901124577, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.003119877694795529, 'lambda': 0.5, 'weighted': 0.0015599388473977645}, 'turnover': {'raw': 0.002644891928260525, 'lambda': 0.0001, 'weighted': 2.644891926214162e-07}, 'volatility': {'raw': 0.0004929184700207164, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.09510797262191772, 'lambda': 1.0, 'weighted': 0.09510797262191772}, 'weight_path': {'raw': 5.4709450220495155e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0025067476090043783, 'lambda': 1.0, 'weighted': -0.0025067476090043783}, 'log_growth': {'raw': -0.002317956415936351, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0010129857109859586, 'lambda': 0.5, 'weighted': 0.0005064928554929793}, 'turnover': {'raw': 3.555058128767996e-06, 'lambda': 0.0001, 'weighted': 3.555057914716997e-10}, 'volatility': {'raw': 0.00037774333031848073, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.05853089690208435, 'lambda': 1.0, 'weighted': 0.05853089690208435}, 'weight_path': {'raw': 1.2763523744852012e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
4,0.08968593288833897,0.0508994497358799,0.0014239753363654017,0.0011879037289569776,-0.0030088591932629547,0.003883839196835955,0.00047748954966664314,0.08960509300231934,1.2120369016580904e-05,0.0,0.002463042736053467,0.0022809721995145082,-0.0009383601136505604,4.647602054319577e-06,0.0003640649083536118,0.05289331078529358,2.1886315676455936e-11,0.0,0.6722214718659719,0.8343248963356018,0.6722214718659719,0.8343248963356018,0,0,0,"{'mean': {'raw': -0.0014239753363654017, 'lambda': 1.0, 'weighted': -0.0014239753363654017}, 'log_growth': {'raw': -0.0011879037289569776, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0030088591932629547, 'lambda': 0.5, 'weighted': 0.0015044295966314773}, 'turnover': {'raw': 0.003883839196835955, 'lambda': 0.0001, 'weighted': 3.8838391939558886e-07}, 'volatility': {'raw': 0.00047748954966664314, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.08960509300231934, 'lambda': 1.0, 'weighted': 0.08960509300231934}, 'weight_path': {'raw': 1.2120369016580904e-05, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002463042736053467, 'lambda': 1.0, 'weighted': -0.002463042736053467}, 'log_growth': {'raw': -0.0022809721995145082, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0009383601136505604, 'lambda': 0.5, 'weighted': 0.0004691800568252802}, 'turnover': {'raw': 4.647602054319577e-06, 'lambda': 0.0001, 'weighted': 4.6476020254537787e-10}, 'volatility': {'raw': 0.0003640649083536118, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.05289331078529358, 'lambda': 1.0, 'weighted': 0.05289331078529358}, 'weight_path': {'raw': 2.1886315676455936e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
5,0.08408735928727158,0.04487006738781929,0.0013987881829962134,0.0011703472506875794,-0.002899967599660158,0.00538708937043945,0.0004617591330315918,0.08403562506039937,2.2872124948965695e-05,0.0,0.00241604121401906,0.002241038018837571,-0.0008607186609879136,5.306685579853365e-06,0.0003496957942843437,0.04685574769973755,2.8529165141399915e-11,0.0,0.5363823830460509,0.860769510269165,0.5363823830460509,0.860769510269165,0,0,0,"{'mean': {'raw': -0.0013987881829962134, 'lambda': 1.0, 'weighted': -0.0013987881829962134}, 'log_growth': {'raw': -0.0011703472506875794, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.002899967599660158, 'lambda': 0.5, 'weighted': 0.001449983799830079}, 'turnover': {'raw': 0.00538708937043945, 'lambda': 0.0001, 'weighted': 5.387089269485538e-07}, 'volatility': {'raw': 0.0004617591330315918, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.08403562506039937, 'lambda': 1.0, 'weighted': 0.08403562506039937}, 'weight_path': {'raw': 2.2872124948965695e-05, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.00241604121401906, 'lambda': 1.0, 'weighted': -0.00241604121401906}, 'log_growth': {'raw': -0.002241038018837571, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0008607186609879136, 'lambda': 0.5, 'weighted': 0.0004303593304939568}, 'turnover': {'raw': 5.306685579853365e-06, 'lambda': 0.0001, 'weighted': 5.306685646466747e-10}, 'volatility': {'raw': 0.0003496957942843437, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.04685574769973755, 'lambda': 1.0, 'weighted': 0.04685574769973755}, 'weight_path': {'raw': 2.8529165141399915e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
6,0.0785030783736147,0.03831269219517708,0.001366939744912088,0.0011477475442613165,-0.0027714307652786374,0.007214518263936043,0.0004426163262299572,0.07848358154296875,4.1537208744557574e-05,0.0,0.002364665037021041,0.002197195077314973,-0.0007789506926201284,5.493301159731345e-06,0.00033439305843785405,0.04028788208961487,3.048631833091342e-11,0.0,0.5835215835832059,0.9547692537307739,0.5835215835832059,0.9547692537307739,0,0,0,"{'mean': {'raw': -0.001366939744912088, 'lambda': 1.0, 'weighted': -0.001366939744912088}, 'log_growth': {'raw': -0.0011477475442613165, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0027714307652786374, 'lambda': 0.5, 'weighted': 0.0013857153826393187}, 'turnover': {'raw': 0.007214518263936043, 'lambda': 0.0001, 'weighted': 7.214518215429658e-07}, 'volatility': {'raw': 0.0004426163262299572, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.07848358154296875, 'lambda': 1.0, 'weighted': 0.07848358154296875}, 'weight_path': {'raw': 4.1537208744557574e-05, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002364665037021041, 'lambda': 1.0, 'weighted': -0.002364665037021041}, 'log_growth': {'raw': -0.002197195077314973, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0007789506926201284, 'lambda': 0.5, 'weighted': 0.0003894753463100642}, 'turnover': {'raw': 5.493301159731345e-06, 'lambda': 0.0001, 'weighted': 5.49330081422994e-10}, 'volatility': {'raw': 0.00033439305843785405, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.04028788208961487, 'lambda': 1.0, 'weighted': 0.04028788208961487}, 'weight_path': {'raw': 3.048631833091342e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
7,0.07335244157002307,0.031135626137256622,0.0013357102094839017,0.0011252083155947428,-0.00265014353984346,0.009181932546198368,0.0004247674854317059,0.0733621617158254,7.022599796376501e-05,0.0,0.002308097667992115,0.0021486913319677114,-0.0006926740170456469,5.503443389898166e-06,0.0003180322237312794,0.03309738636016846,2.922806788263621e-11,0.0,0.6080776282275716,0.9622913599014282,0.6080776282275716,0.9622913599014282,0,0,0,"{'mean': {'raw': -0.0013357102094839017, 'lambda': 1.0, 'weighted': -0.0013357102094839017}, 'log_growth': {'raw': -0.0011252083155947428, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.00265014353984346, 'lambda': 0.5, 'weighted': 0.00132507176992173}, 'turnover': {'raw': 0.009181932546198368, 'lambda': 0.0001, 'weighted': 9.181932227875222e-07}, 'volatility': {'raw': 0.0004247674854317059, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0733621617158254, 'lambda': 1.0, 'weighted': 0.0733621617158254}, 'weight_path': {'raw': 7.022599796376501e-05, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002308097667992115, 'lambda': 1.0, 'weighted': -0.002308097667992115}, 'log_growth': {'raw': -0.0021486913319677114, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0006926740170456469, 'lambda': 0.5, 'weighted': 0.00034633700852282345}, 'turnover': {'raw': 5.503443389898166e-06, 'lambda': 0.0001, 'weighted': 5.503443256671403e-10}, 'volatility': {'raw': 0.0003180322237312794, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.03309738636016846, 'lambda': 1.0, 'weighted': 0.03309738636016846}, 'weight_path': {'raw': 2.922806788263621e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
8,0.06687888236289534,0.023309865966439247,0.001305606837073962,0.001105404788783441,-0.002500559048106273,0.010449682672818502,0.0004034734981056924,0.06693316499392192,8.80776375803786e-05,0.0,0.0022459786850959063,0.002095147268846631,-0.0006024747272022069,5.861851605004631e-06,0.00030065514147281647,0.02525460720062256,3.050067143295365e-11,0.0,0.6445072650288542,1.0353808403015137,0.6445072650288542,1.0353808403015137,0,0,0,"{'mean': {'raw': -0.001305606837073962, 'lambda': 1.0, 'weighted': -0.001305606837073962}, 'log_growth': {'raw': -0.001105404788783441, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.002500559048106273, 'lambda': 0.5, 'weighted': 0.0012502795240531366}, 'turnover': {'raw': 0.010449682672818502, 'lambda': 0.0001, 'weighted': 1.0449682198062267e-06}, 'volatility': {'raw': 0.0004034734981056924, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.06693316499392192, 'lambda': 1.0, 'weighted': 0.06693316499392192}, 'weight_path': {'raw': 8.80776375803786e-05, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0022459786850959063, 'lambda': 1.0, 'weighted': -0.0022459786850959063}, 'log_growth': {'raw': -0.002095147268846631, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0006024747272022069, 'lambda': 0.5, 'weighted': 0.0003012373636011034}, 'turnover': {'raw': 5.861851605004631e-06, 'lambda': 0.0001, 'weighted': 5.861851559707532e-10}, 'volatility': {'raw': 0.00030065514147281647, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.02525460720062256, 'lambda': 1.0, 'weighted': 0.02525460720062256}, 'weight_path': {'raw': 3.050067143295365e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
9,0.06074541622850423,0.014840543270111084,0.0012752540254344542,0.0010849739192053676,-0.0023479749991868934,0.012671947168807188,0.00038325554244996357,0.060845414797465004,0.00012691281881416216,0.0,0.0021781788673251867,0.0020363719668239355,-0.0005094720399938524,6.94815389579162e-06,0.0002823929535225034,0.01676398515701294,4.130961545056877e-11,0.0,0.6683469065465033,1.0759613513946533,0.6683469065465033,1.0759613513946533,0,0,0,"{'mean': {'raw': -0.0012752540254344542, 'lambda': 1.0, 'weighted': -0.0012752540254344542}, 'log_growth': {'raw': -0.0010849739192053676, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0023479749991868934, 'lambda': 0.5, 'weighted': 0.0011739874995934467}, 'turnover': {'raw': 0.012671947168807188, 'lambda': 0.0001, 'weighted': 1.2671946857760001e-06}, 'volatility': {'raw': 0.00038325554244996357, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.060845414797465004, 'lambda': 1.0, 'weighted': 0.060845414797465004}, 'weight_path': {'raw': 0.00012691281881416216, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0021781788673251867, 'lambda': 1.0, 'weighted': -0.0021781788673251867}, 'log_growth': {'raw': -0.0020363719668239355, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0005094720399938524, 'lambda': 0.5, 'weighted': 0.0002547360199969262}, 'turnover': {'raw': 6.94815389579162e-06, 'lambda': 0.0001, 'weighted': 6.948153719044114e-10}, 'volatility': {'raw': 0.0002823929535225034, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.01676398515701294, 'lambda': 1.0, 'weighted': 0.01676398515701294}, 'weight_path': {'raw': 4.130961545056877e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
10,0.053889717518662415,0.005781825166195631,0.0012321041043226917,0.0010525303659960628,-0.0021987084570961692,0.015046648370722929,0.00036132911433621,0.054020961125691734,0.0001810473525741448,0.0,0.0021049187052994967,0.001972469035536051,-0.0004153953632339835,8.992656148620881e-06,0.0002634860575199127,0.0076790452003479,6.813054287402309e-11,0.0,0.6907418204161028,1.1099457740783691,0.6907418204161028,1.1099457740783691,0,0,0,"{'mean': {'raw': -0.0012321041043226917, 'lambda': 1.0, 'weighted': -0.0012321041043226917}, 'log_growth': {'raw': -0.0010525303659960628, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0021987084570961692, 'lambda': 0.5, 'weighted': 0.0010993542285480846}, 'turnover': {'raw': 0.015046648370722929, 'lambda': 0.0001, 'weighted': 1.5046648134860636e-06}, 'volatility': {'raw': 0.00036132911433621, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.054020961125691734, 'lambda': 1.0, 'weighted': 0.054020961125691734}, 'weight_path': {'raw': 0.0001810473525741448, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0021049187052994967, 'lambda': 1.0, 'weighted': -0.0021049187052994967}, 'log_growth': {'raw': -0.001972469035536051, 'lambda': 0.0, 'weighted': 0.0}, 'cvar': {'raw': 0.0004153953632339835, 'lambda': 0.5, 'weighted': 0.00020769768161699176}, 'turnover': {'raw': 8.992656148620881e-06, 'lambda': 0.0001, 'weighted': 8.992656064243931e-10}, 'volatility': {'raw': 0.0002634860575199127, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0076790452003479, 'lambda': 1.0, 'weighted': 0.0076790452003479}, 'weight_path': {'raw': 6.813054287402309e-11, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003
