epoch,train_loss,val_loss,train_mean_return,train_mean_log1p_return,train_discounted_log1p_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_mean_log1p_return,val_discounted_log1p_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,train_diag_grad_norm_pre_mean,train_diag_grad_norm_pre_max,train_diag_grad_norm_post_mean,train_diag_grad_norm_post_max,train_diag_nan_loss_batches,train_diag_nan_grad_batches,train_diag_skipped_nan_batches,train_term_breakdown,val_term_breakdown,lr,online_step,decision_idx,gate_mode,gate_passed,gate_reason,gate_val_improvement,gate_relative_improvement,n_hist
1,-0.0028345875907689333,-0.0014485459541901946,0.0029749737586826086,0.0028345875907689333,0.0028345875907689333,0.0006884336471557617,0.0,0.0002840156084857881,0.017529308795928955,0.0,0.0,0.0015115264104679227,0.0014485459541901946,0.0014485459541901946,0.00030645914375782013,6.315171776805073e-05,0.00012464718020055443,0.0,3.439935669646843e-09,0.0,0.003705395618453622,0.003705395618453622,0.003705395618453622,0.003705395618453622,0,0,0,"{'mean': {'raw': -0.0029749737586826086, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0028345875907689333, 'lambda': 1.0, 'weighted': -0.0028345875907689333}, 'cvar': {'raw': -0.0006884336471557617, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.0002840156084857881, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.017529308795928955, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0015115264104679227, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0014485459541901946, 'lambda': 1.0, 'weighted': -0.0014485459541901946}, 'cvar': {'raw': -0.00030645914375782013, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 6.315171776805073e-05, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00012464718020055443, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 3.439935669646843e-09, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,0,252,cadence,1,bootstrap_accept,2.8384383767843246e-06,0.0019595086829065334,252
2,-0.0028407475911080837,-0.001451384392566979,0.002981932368129492,0.0028407475911080837,0.0028407475911080837,0.0006851460784673691,0.00035934062907472253,0.00028572726296260953,0.018334269523620605,9.795532918133176e-08,0.0,0.0015146950026974082,0.001451384392566979,0.001451384392566979,0.0003034714609384537,0.00012479662836994976,0.00012530694948509336,0.0,1.3418571143120062e-08,0.0,0.0033771218731999397,0.0033771218731999397,0.0033771218731999397,0.0033771218731999397,0,0,0,"{'mean': {'raw': -0.002981932368129492, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0028407475911080837, 'lambda': 1.0, 'weighted': -0.0028407475911080837}, 'cvar': {'raw': -0.0006851460784673691, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.00035934062907472253, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00028572726296260953, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.018334269523620605, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 9.795532918133176e-08, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0015146950026974082, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.001451384392566979, 'lambda': 1.0, 'weighted': -0.001451384392566979}, 'cvar': {'raw': -0.0003034714609384537, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.00012479662836994976, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00012530694948509336, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 1.3418571143120062e-08, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,0,252,cadence,1,bootstrap_accept,2.8384383767843246e-06,0.0019595086829065334,252
1,-0.0025004204362630844,-0.003026349935680628,0.0026442240923643112,0.0025004204362630844,0.0025004204362630844,0.0002841785317286849,0.0005852963658981025,0.00029288470977917314,0.021674364805221558,2.788166000300407e-07,0.0,0.003080935450270772,0.003026349935680628,0.003026349935680628,0.002126199658960104,0.0001785409403964877,0.00010110106086358428,0.0,2.6827297716636167e-08,0.0,0.0028007838409394026,0.0028007838409394026,0.0028007838409394026,0.0028007838409394026,0,0,0,"{'mean': {'raw': -0.0026442240923643112, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0025004204362630844, 'lambda': 1.0, 'weighted': -0.0025004204362630844}, 'cvar': {'raw': -0.0002841785317286849, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0005852963658981025, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00029288470977917314, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.021674364805221558, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 2.788166000300407e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.003080935450270772, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.003026349935680628, 'lambda': 1.0, 'weighted': -0.003026349935680628}, 'cvar': {'raw': -0.002126199658960104, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0001785409403964877, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00010110106086358428, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 2.6827297716636167e-08, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,5,257,cadence,1,cadence_accept,6.111571565270424e-06,0.00201945303522095,252
2,-0.002506455173715949,-0.0030324615072458982,0.0026511673349887133,0.002506455173715949,0.002506455173715949,0.00027986179338768125,0.0010315296240150928,0.00029485306004062295,0.02258571982383728,8.354680858246866e-07,0.0,0.003087337827309966,0.0030324615072458982,0.0030324615072458982,0.0021275528706610203,0.00024080455477815121,0.00010165573621634394,0.0,4.8754213111124045e-08,0.0,0.00296787335537374,0.00296787335537374,0.00296787335537374,0.00296787335537374,0,0,0,"{'mean': {'raw': -0.0026511673349887133, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002506455173715949, 'lambda': 1.0, 'weighted': -0.002506455173715949}, 'cvar': {'raw': -0.00027986179338768125, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0010315296240150928, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00029485306004062295, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.02258571982383728, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 8.354680858246866e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.003087337827309966, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0030324615072458982, 'lambda': 1.0, 'weighted': -0.0030324615072458982}, 'cvar': {'raw': -0.0021275528706610203, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.00024080455477815121, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00010165573621634394, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 4.8754213111124045e-08, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,5,257,cadence,1,cadence_accept,6.111571565270424e-06,0.00201945303522095,252
1,-0.002733080182224512,-0.0021403380669653416,0.002882510656490922,0.002733080182224512,0.002733080182224512,0.0004413546994328499,0.001344300457276404,0.00030345041886903346,0.026531189680099487,1.3611994518214487e-06,0.0,0.002179741160944104,0.0021403380669653416,0.0021403380669653416,0.0014447667635977268,0.0002887201262637973,7.451565761584789e-05,0.0,6.844847177944757e-08,0.0,0.0033518089912831783,0.0033518089912831783,0.0033518089912831783,0.0033518089912831783,0,0,0,"{'mean': {'raw': -0.002882510656490922, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002733080182224512, 'lambda': 1.0, 'weighted': -0.002733080182224512}, 'cvar': {'raw': -0.0004413546994328499, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.001344300457276404, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00030345041886903346, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.026531189680099487, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 1.3611994518214487e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002179741160944104, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0021403380669653416, 'lambda': 1.0, 'weighted': -0.0021403380669653416}, 'cvar': {'raw': -0.0014447667635977268, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0002887201262637973, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.451565761584789e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 6.844847177944757e-08, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,10,262,cadence,1,cadence_accept,4.245201125741005e-06,0.00198342551080101,252
2,-0.0027409596368670464,-0.0021445832680910826,0.0028915689326822758,0.0027409596368670464,0.0027409596368670464,0.0004363211337476969,0.001607205020263791,0.00030601443722844124,0.02769702672958374,2.13827365769248e-06,0.0,0.002184196375310421,0.0021445832680910826,0.0021445832680910826,0.0014453064650297165,0.00035373924765735865,7.49200553400442e-05,0.0,1.0219029888958175e-07,0.0,0.003548636566847563,0.003548636566847563,0.003548636566847563,0.003548636566847563,0,0,0,"{'mean': {'raw': -0.0028915689326822758, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0027409596368670464, 'lambda': 1.0, 'weighted': -0.0027409596368670464}, 'cvar': {'raw': -0.0004363211337476969, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.001607205020263791, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00030601443722844124, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.02769702672958374, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 2.13827365769248e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002184196375310421, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0021445832680910826, 'lambda': 1.0, 'weighted': -0.0021445832680910826}, 'cvar': {'raw': -0.0014453064650297165, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.00035373924765735865, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.49200553400442e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 1.0219029888958175e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,10,262,cadence,1,cadence_accept,4.245201125741005e-06,0.00198342551080101,252
1,-0.002696823561564088,-0.0021896096877753735,0.002848041709512472,0.002696823561564088,0.002696823561564088,0.000384575774660334,0.0018472573719918728,0.00030762472306378186,0.02842673659324646,2.6883035388891585e-06,0.0,0.0022292975336313248,0.0021896096877753735,0.0021896096877753735,0.0014911694452166557,0.00040846227784641087,7.48837846913375e-05,0.0,1.3727255065987265e-07,0.0,0.003567546373233199,0.003567546373233199,0.003567546373233199,0.003567546373233199,0,0,0,"{'mean': {'raw': -0.002848041709512472, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002696823561564088, 'lambda': 1.0, 'weighted': -0.002696823561564088}, 'cvar': {'raw': -0.000384575774660334, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0018472573719918728, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00030762472306378186, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.02842673659324646, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 2.6883035388891585e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0022292975336313248, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0021896096877753735, 'lambda': 1.0, 'weighted': -0.0021896096877753735}, 'cvar': {'raw': -0.0014911694452166557, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.00040846227784641087, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.48837846913375e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 1.3727255065987265e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,15,267,cadence,1,cadence_accept,6.054295226931572e-06,0.002765011160650133,252
2,-0.002707247156649828,-0.002195663983002305,0.0028597929049283266,0.002707247156649828,0.002707247156649828,0.0003804975713137537,0.0022375741973519325,0.00031050265533849597,0.0297260582447052,4.443809302756563e-06,0.0,0.0022356240078806877,0.002195663983002305,0.002195663983002305,0.0014924793504178524,0.0004744011093862355,7.540541992057115e-05,0.0,1.8500493581541377e-07,0.0,0.003871093736961484,0.003871093736961484,0.003871093736961484,0.003871093736961484,0,0,0,"{'mean': {'raw': -0.0028597929049283266, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002707247156649828, 'lambda': 1.0, 'weighted': -0.002707247156649828}, 'cvar': {'raw': -0.0003804975713137537, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0022375741973519325, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00031050265533849597, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0297260582447052, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 4.443809302756563e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.0022356240078806877, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002195663983002305, 'lambda': 1.0, 'weighted': -0.002195663983002305}, 'cvar': {'raw': -0.0014924793504178524, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0004744011093862355, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.540541992057115e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 1.8500493581541377e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,15,267,cadence,1,cadence_accept,6.054295226931572e-06,0.002765011160650133,252
1,-0.0027078166604042053,-0.002274828962981701,0.0028614443726837635,0.0027078166604042053,0.0027078166604042053,0.0003687335120048374,0.002750339452177286,0.0003128921380266547,0.030800312757492065,6.246964403544553e-06,0.0,0.002312414115294814,0.002274828962981701,0.002274828962981701,0.0016224931459873915,0.0005428451113402843,7.033281872281805e-05,0.0,2.4374952545258566e-07,0.0,0.0035657978150993586,0.0035657978150993586,0.0035657978150993586,0.0035657978150993586,0,0,0,"{'mean': {'raw': -0.0028614443726837635, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0027078166604042053, 'lambda': 1.0, 'weighted': -0.0027078166604042053}, 'cvar': {'raw': -0.0003687335120048374, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.002750339452177286, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.0003128921380266547, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.030800312757492065, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 6.246964403544553e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002312414115294814, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002274828962981701, 'lambda': 1.0, 'weighted': -0.002274828962981701}, 'cvar': {'raw': -0.0016224931459873915, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0005428451113402843, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.033281872281805e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 2.4374952545258566e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,20,272,cadence,1,cadence_accept,6.431713700294495e-06,0.0028273394624960613,252
2,-0.002717444906011224,-0.0022812606766819954,0.0028717941604554653,0.002717444906011224,0.002717444906011224,0.0003666517441160977,0.003533772425726056,0.00031432806281372905,0.031443893909454346,9.715249689179473e-06,0.0,0.002319133374840021,0.0022812606766819954,0.0022812606766819954,0.0016239772085100412,0.0006126129883341491,7.088303391356021e-05,0.0,3.096418481618457e-07,0.0,0.0036422202829271555,0.0036422202829271555,0.0036422202829271555,0.0036422202829271555,0,0,0,"{'mean': {'raw': -0.0028717941604554653, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.002717444906011224, 'lambda': 1.0, 'weighted': -0.002717444906011224}, 'cvar': {'raw': -0.0003666517441160977, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.003533772425726056, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 0.00031432806281372905, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.031443893909454346, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 9.715249689179473e-06, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}","{'mean': {'raw': -0.002319133374840021, 'lambda': 0.0, 'weighted': 0.0}, 'log_growth': {'raw': -0.0022812606766819954, 'lambda': 1.0, 'weighted': -0.0022812606766819954}, 'cvar': {'raw': -0.0016239772085100412, 'lambda': 0.0, 'weighted': 0.0}, 'turnover': {'raw': 0.0006126129883341491, 'lambda': 0.0, 'weighted': 0.0}, 'volatility': {'raw': 7.088303391356021e-05, 'lambda': 0.0, 'weighted': 0.0}, 'vol_excess': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}, 'weight_path': {'raw': 3.096418481618457e-07, 'lambda': 0.0, 'weighted': 0.0}, 'diversify': {'raw': 0.0, 'lambda': 0.0, 'weighted': 0.0}}",0.0003,20,272,cadence,1,cadence_accept,6.431713700294495e-06,0.0028273394624960613,252
