,SPY,IPO_INDEX
2025-07-09,0.4682908,0.5317092
2025-07-10,0.45910123,0.5408988
2025-07-11,0.4499359,0.5500641
2025-07-14,0.44075486,0.5592451
2025-07-15,0.43156746,0.56843257
2025-07-16,0.4223977,0.5776023
2025-07-17,0.41322538,0.5867746
2025-07-18,0.4040704,0.5959296
2025-07-21,0.3949352,0.6050648
2025-07-22,0.38581878,0.6141812
2025-07-23,0.37671223,0.6232878
2025-07-24,0.367621,0.632379
2025-07-25,0.3585286,0.6414714
2025-07-28,0.34944677,0.6505532
2025-07-29,0.34036958,0.6596304
2025-07-30,0.33131543,0.66868454
2025-07-31,0.3222541,0.6777459
2025-08-01,0.31319964,0.68680036
2025-08-04,0.3041645,0.6958355
2025-08-05,0.2951359,0.7048641
2025-08-06,0.2861291,0.7138709
2025-08-07,0.2771145,0.7228855
2025-08-08,0.26809117,0.7319088
2025-08-11,0.2590673,0.7409327
2025-08-12,0.25005123,0.7499488
2025-08-13,0.24103329,0.7589667
2025-08-14,0.23207426,0.76792574
2025-08-15,0.2231879,0.7768121
2025-08-18,0.21429464,0.7857053
2025-08-19,0.20542236,0.79457766
2025-08-20,0.28851068,0.7114893
2025-08-21,0.23535083,0.76464915
2025-08-22,0.3184252,0.6815748
2025-08-25,0.26530173,0.7346983
2025-08-26,0.25649253,0.7435075
2025-08-27,0.33950523,0.6604948
2025-08-28,0.286462,0.71353805
2025-08-29,0.27762944,0.72237056
2025-09-02,0.26880807,0.731192
2025-09-03,0.2600427,0.73995733
2025-09-04,0.34292862,0.6570714
2025-09-05,0.2901247,0.7098753
2025-09-08,0.38965076,0.61034924
2025-09-09,0.33685994,0.66314006
2025-09-10,0.32811502,0.67188495
2025-09-11,0.31938222,0.6806178
2025-09-12,0.31065497,0.689345
2025-09-15,0.30195394,0.6980461
2025-09-16,0.40123174,0.5987683
2025-09-17,0.34859082,0.65140915
2025-09-18,0.33988696,0.66011304
2025-09-19,0.33118883,0.66881114
2025-09-22,0.32249883,0.6775012
2025-09-23,0.31381094,0.68618906
2025-09-24,0.30514616,0.69485384
2025-09-25,0.29650056,0.70349944
2025-09-26,0.39541584,0.60458416
2025-09-29,0.34306413,0.6569359
2025-09-30,0.3344603,0.66553974
2025-10-01,0.3258623,0.6741377
2025-10-02,0.3172477,0.6827523
2025-10-03,0.41599873,0.58400124
2025-10-06,0.4716223,0.5283777
2025-10-07,0.5275407,0.4724593
2025-10-08,0.56674063,0.4332594
2025-10-09,0.60601866,0.39398137
2025-10-10,0.64546025,0.35453972
2025-10-13,0.68504936,0.31495064
2025-10-14,0.7247342,0.2752658
2025-10-15,0.71472794,0.2852721
2025-10-16,0.7481938,0.2518062
2025-10-17,0.73820937,0.2617907
2025-10-20,0.7716744,0.2283256
2025-10-21,0.76170516,0.23829482
2025-10-22,0.7951309,0.20486912
2025-10-23,0.7851785,0.21482152
2025-10-24,0.8185594,0.18144062
2025-10-27,0.808561,0.19143897
2025-10-28,0.84186125,0.15813872
2025-10-29,0.8318463,0.16815369
2025-10-30,0.86508805,0.13491192
2025-10-31,0.8550825,0.14491746
2025-11-03,0.8882884,0.1117116
2025-11-04,0.8782743,0.1217257
2025-11-05,0.9114449,0.08855511
2025-11-06,0.90142477,0.09857525
2025-11-07,0.9690602,0.030939803
2025-11-10,0.9590112,0.040988777
2025-11-11,0.99204767,0.007952351
2025-11-12,0.9819991,0.018000914
2025-11-13,1.0,0.0
2025-11-14,0.989996,0.010003954
2025-11-17,1.0,0.0
2025-11-18,1.0,0.0
2025-11-19,1.0,0.0
2025-11-20,1.0,0.0
2025-11-21,1.0,0.0
2025-11-24,1.0,0.0
2025-11-25,1.0,0.0
2025-11-26,1.0,0.0
2025-11-28,1.0,0.0
2025-12-01,1.0,0.0
2025-12-02,1.0,0.0
2025-12-03,1.0,0.0
2025-12-04,1.0,0.0
2025-12-05,1.0,0.0
2025-12-08,1.0,0.0
2025-12-09,1.0,0.0
2025-12-10,1.0,0.0
2025-12-11,1.0,0.0
2025-12-12,1.0,0.0
2025-12-15,1.0,0.0
2025-12-16,1.0,0.0
2025-12-17,1.0,0.0
2025-12-18,1.0,0.0
2025-12-19,1.0,0.0
2025-12-22,1.0,0.0
2025-12-23,1.0,0.0
2025-12-24,1.0,0.0
2025-12-26,1.0,0.0
2025-12-29,1.0,0.0
2025-12-30,1.0,0.0
2025-12-31,1.0,0.0
